#LECROYWR104MXi-Al‘ 54380 Histogram
#Segments 1 SegmentSize 462
#Segment TrigTime TimeSinceSegment1
#1 26-Jun-2017 10:51:14 0                 
#Time Ampl
-0.1664 0
-0.166 0
-0.1656 0
-0.1652 0
-0.1648 0
-0.1644 0
-0.164 0
-0.1636 0
-0.1632 0
-0.1628 0
-0.1624 0
-0.162 0
-0.1616 0
-0.1612 0
-0.1608 0
-0.1604 0
-0.16 0
-0.1596 0
-0.1592 0
-0.1588 0
-0.1584 0
-0.158 0
-0.1576 0
-0.1572 0
-0.1568 0
-0.1564 0
-0.156 0
-0.1556 0
-0.1552 0
-0.1548 0
-0.1544 0
-0.154 0
-0.1536 0
-0.1532 0
-0.1528 0
-0.1524 0
-0.152 0
-0.1516 0
-0.1512 0
-0.1508 0
-0.1504 0
-0.15 0
-0.1496 0
-0.1492 0
-0.1488 0
-0.1484 0
-0.148 0
-0.1476 0
-0.1472 0
-0.1468 0
-0.1464 0
-0.146 0
-0.1456 0
-0.1452 0
-0.1448 0
-0.1444 0
-0.144 0
-0.1436 0
-0.1432 0
-0.1428 0
-0.1424 0
-0.142 0
-0.1416 0
-0.1412 0
-0.1408 0
-0.1404 0
-0.14 0
-0.1396 0
-0.1392 0
-0.1388 0
-0.1384 0
-0.138 0
-0.1376 0
-0.1372 0
-0.1368 0
-0.1364 0
-0.136 296
-0.1356 17
-0.1352 8
-0.1348 7
-0.1344 8
-0.134 3
-0.1336 8
-0.1332 1
-0.1328 1
-0.1324 2
-0.132 5
-0.1316 2
-0.1312 2
-0.1308 1
-0.1304 3
-0.13 2
-0.1296 3
-0.1292 1
-0.1288 2
-0.1284 4
-0.128 0
-0.1276 5
-0.1272 3
-0.1268 2
-0.1264 1
-0.126 3
-0.1256 5
-0.1252 6
-0.1248 9
-0.1244 8
-0.124 3
-0.1236 7
-0.1232 15
-0.1228 14
-0.1224 18
-0.122 19
-0.1216 18
-0.1212 19
-0.1208 18
-0.1204 15
-0.12 13
-0.1196 12
-0.1192 11
-0.1188 12
-0.1184 14
-0.118 16
-0.1176 13
-0.1172 5
-0.1168 8
-0.1164 6
