LECROYWR104MXi-Al‘ 54380 Histogram
Segments 1 SegmentSize 424
Segment TrigTime TimeSinceSegment1
#1 03-Jul-2017 13:40:10 0                 
Time Ampl
-0.1508 0
-0.1504 0
-0.15 0
-0.1496 0
-0.1492 291
-0.1488 9
-0.1484 7
-0.148 1
-0.1476 8
-0.1472 3
-0.1468 2
-0.1464 4
-0.146 1
-0.1456 0
-0.1452 2
-0.1448 0
-0.1444 1
-0.144 3
-0.1436 3
-0.1432 5
-0.1428 4
-0.1424 3
-0.142 0
-0.1416 3
-0.1412 7
-0.1408 7
-0.1404 6
-0.14 10
-0.1396 7
-0.1392 11
-0.1388 10
-0.1384 11
-0.138 8
-0.1376 11
-0.1372 15
-0.1368 13
-0.1364 9
-0.136 13
-0.1356 10
-0.1352 10
-0.1348 12
-0.1344 12
-0.134 7
-0.1336 6
-0.1332 5
-0.1328 5
-0.1324 7
-0.132 8
-0.1316 1
-0.1312 5
-0.1308 3
-0.1304 4
-0.13 3
-0.1296 5
-0.1292 5
-0.1288 6
-0.1284 6
-0.128 6
-0.1276 7
-0.1272 6
-0.1268 5
-0.1264 9
-0.126 5
-0.1256 5
-0.1252 8
-0.1248 8
-0.1244 8
-0.124 13
-0.1236 11
-0.1232 15
-0.1228 17
-0.1224 18
-0.122 30
-0.1216 25
-0.1212 28
-0.1208 28
-0.1204 35
-0.12 30
-0.1196 31
-0.1192 24
-0.1188 15
-0.1184 13
-0.118 16
-0.1176 19
-0.1172 13
-0.1168 15
-0.1164 14
-0.116 10
-0.1156 12
-0.1152 8
-0.1148 17
-0.1144 8
-0.114 11
-0.1136 9
-0.1132 8
-0.1128 4
-0.1124 8
-0.112 9
-0.1116 5
-0.1112 5
-0.1108 8
-0.1104 9
-0.11 7
-0.1096 12
-0.1092 6
-0.1088 8
-0.1084 17
-0.108 31
-0.1076 29
-0.1072 35
-0.1068 39
-0.1064 49
-0.106 63
-0.1056 83
-0.1052 64
-0.1048 51
-0.1044 54
-0.104 39
-0.1036 43
-0.1032 41
-0.1028 31
-0.1024 33
-0.102 30
-0.1016 21
-0.1012 28
-0.1008 14
-0.1004 24
-0.1 26
-0.0996 20
-0.0992 13
-0.0988 15
-0.0984 11
-0.098 21
-0.0976 14
-0.0972 24
-0.0968 13
-0.0964 18
-0.096 22
-0.0956 6
-0.0952 16
-0.0948 19
-0.0944 12
-0.094 16
-0.0936 27
-0.0932 20
-0.0928 24
-0.0924 25
-0.092 41
-0.0916 43
-0.0912 69
-0.0908 83
-0.0904 107
-0.09 129
-0.0896 137
-0.0892 118
-0.0888 124
-0.0884 133
-0.088 102
-0.0876 90
-0.0872 79
-0.0868 72
-0.0864 65
-0.086 51
-0.0856 53
-0.0852 51
-0.0848 52
-0.0844 38
-0.084 46
-0.0836 37
-0.0832 42
-0.0828 37
-0.0824 44
-0.082 31
-0.0816 49
-0.0812 33
-0.0808 35
-0.0804 37
-0.08 36
-0.0796 32
-0.0792 40
-0.0788 42
