LECROYWR104MXi-Al‘ 54380 Histogram
Segments 1 SegmentSize 462
Segment TrigTime TimeSinceSegment1
#1 21-Jun-2017 12:41:57 0                 
Time Ampl
-0.1852 13
-0.1848 12
-0.1844 10
-0.184 16
-0.1836 13
-0.1832 10
-0.1828 14
-0.1824 16
-0.182 16
-0.1816 18
-0.1812 18
-0.1808 19
-0.1804 19
-0.18 15
-0.1796 22
-0.1792 10
-0.1788 21
-0.1784 16
-0.178 16
-0.1776 24
-0.1772 21
-0.1768 19
-0.1764 25
-0.176 21
-0.1756 18
-0.1752 21
-0.1748 16
-0.1744 26
-0.174 15
-0.1736 24
-0.1732 27
-0.1728 16
-0.1724 20
-0.172 16
-0.1716 19
-0.1712 26
-0.1708 16
-0.1704 19
-0.17 23
-0.1696 24
-0.1692 28
-0.1688 23
-0.1684 28
-0.168 26
-0.1676 20
-0.1672 19
-0.1668 22
-0.1664 30
-0.166 24
-0.1656 27
-0.1652 18
-0.1648 20
-0.1644 24
-0.164 34
-0.1636 20
-0.1632 32
-0.1628 28
-0.1624 38
-0.162 28
-0.1616 30
-0.1612 29
-0.1608 33
-0.1604 33
-0.16 30
-0.1596 36
-0.1592 36
-0.1588 34
-0.1584 47
-0.158 26
-0.1576 35
-0.1572 43
-0.1568 45
-0.1564 41
-0.156 41
-0.1556 43
-0.1552 43
-0.1548 46
-0.1544 48
-0.154 54
-0.1536 50
-0.1532 54
-0.1528 50
-0.1524 53
-0.152 42
-0.1516 41
-0.1512 40
-0.1508 50
-0.1504 44
-0.15 47
-0.1496 51
-0.1492 45
-0.1488 49
-0.1484 38
-0.148 40
-0.1476 50
-0.1472 40
-0.1468 46
-0.1464 45
-0.146 44
-0.1456 53
-0.1452 49
-0.1448 49
-0.1444 52
-0.144 56
-0.1436 45
-0.1432 44
-0.1428 58
-0.1424 61
-0.142 47
-0.1416 47
-0.1412 65
-0.1408 50
-0.1404 70
-0.14 62
-0.1396 80
-0.1392 78
-0.1388 80
-0.1384 67
-0.138 85
-0.1376 91
-0.1372 82
-0.1368 92
-0.1364 84
-0.136 84
-0.1356 98
-0.1352 82
-0.1348 111
-0.1344 83
-0.134 111
-0.1336 94
-0.1332 100
-0.1328 108
-0.1324 91
-0.132 102
-0.1316 107
-0.1312 114
-0.1308 108
-0.1304 106
-0.13 95
-0.1296 107
-0.1292 113
-0.1288 107
-0.1284 97
-0.128 104
-0.1276 98
-0.1272 96
-0.1268 115
-0.1264 86
-0.126 100
-0.1256 106
-0.1252 97
-0.1248 99
-0.1244 115
-0.124 99
-0.1236 97
-0.1232 112
-0.1228 94
-0.1224 83
-0.122 114
-0.1216 110
-0.1212 112
-0.1208 118
-0.1204 99
-0.12 101
-0.1196 111
-0.1192 104
-0.1188 110
-0.1184 108
-0.118 125
-0.1176 110
-0.1172 125
-0.1168 115
-0.1164 147
-0.116 133
-0.1156 127
-0.1152 143
-0.1148 158
-0.1144 171
-0.114 163
-0.1136 187
-0.1132 176
-0.1128 188
-0.1124 191
-0.112 208
-0.1116 182
-0.1112 218
-0.1108 221
-0.1104 218
-0.11 201
-0.1096 234
-0.1092 243
-0.1088 218
-0.1084 211
-0.108 253
-0.1076 224
-0.1072 225
-0.1068 232
-0.1064 220
-0.106 251
-0.1056 230
-0.1052 208
-0.1048 236
-0.1044 225
-0.104 211
-0.1036 225
-0.1032 219
-0.1028 222
-0.1024 226
-0.102 251
-0.1016 259
-0.1012 266
-0.1008 240
-0.1004 259
-0.1 242
-0.0996 231
-0.0992 236
-0.0988 241
-0.0984 268
-0.098 246
-0.0976 231
-0.0972 244
-0.0968 244
-0.0964 288
-0.096 267
-0.0956 296
-0.0952 298
-0.0948 343
-0.0944 328
-0.094 314
-0.0936 343
-0.0932 386
-0.0928 387
-0.0924 409
-0.092 442
-0.0916 415
-0.0912 433
-0.0908 452
-0.0904 474
-0.09 541
-0.0896 495
-0.0892 478
-0.0888 512
-0.0884 573
-0.088 565
-0.0876 591
-0.0872 604
-0.0868 602
-0.0864 602
-0.086 615
-0.0856 564
-0.0852 573
-0.0848 560
-0.0844 606
-0.084 575
-0.0836 602
-0.0832 590
-0.0828 556
-0.0824 527
-0.082 575
-0.0816 537
-0.0812 556
-0.0808 544
-0.0804 553
-0.08 492
-0.0796 544
-0.0792 542
-0.0788 567
-0.0784 567
-0.078 537
-0.0776 550
-0.0772 569
-0.0768 552
-0.0764 570
-0.076 546
-0.0756 620
-0.0752 560
-0.0748 552
-0.0744 597
-0.074 653
-0.0736 605
-0.0732 669
-0.0728 625
-0.0724 693
-0.072 693
-0.0716 714
-0.0712 784
-0.0708 802
-0.0704 842
-0.07 878
-0.0696 922
-0.0692 948
-0.0688 1023
-0.0684 1106
-0.068 1118
-0.0676 1206
-0.0672 1215
-0.0668 1153
-0.0664 1199
-0.066 1271
-0.0656 1267
-0.0652 1256
-0.0648 1286
-0.0644 1259
-0.064 1295
-0.0636 1318
-0.0632 1371
-0.0628 1425
-0.0624 1286
-0.062 1327
-0.0616 1272
-0.0612 1319
-0.0608 1302
-0.0604 1269
-0.06 1293
-0.0596 1330
-0.0592 1267
-0.0588 1270
-0.0584 1251
-0.058 1264
-0.0576 1292
-0.0572 1288
-0.0568 1341
-0.0564 1258
-0.056 1317
-0.0556 1273
-0.0552 1287
-0.0548 1297
-0.0544 1296
-0.054 1282
-0.0536 1354
-0.0532 1347
-0.0528 1280
-0.0524 1292
-0.052 1348
-0.0516 1343
-0.0512 1425
-0.0508 1372
-0.0504 1411
-0.05 1388
-0.0496 1447
-0.0492 1507
-0.0488 1506
-0.0484 1581
-0.048 1690
-0.0476 1721
-0.0472 1832
-0.0468 1961
-0.0464 2048
-0.046 2396
-0.0456 2332
-0.0452 2514
-0.0448 2649
-0.0444 2743
-0.044 2856
-0.0436 2901
-0.0432 3014
-0.0428 3228
-0.0424 3233
-0.042 3414
-0.0416 3445
-0.0412 3468
-0.0408 3673
-0.0404 3576
-0.04 3736
-0.0396 3642
-0.0392 3558
-0.0388 3586
-0.0384 3625
-0.038 3680
-0.0376 3731
-0.0372 3585
-0.0368 3543
-0.0364 3471
-0.036 3425
-0.0356 3523
-0.0352 3525
-0.0348 3299
-0.0344 3257
-0.034 3273
-0.0336 3206
-0.0332 3318
-0.0328 3103
-0.0324 3140
-0.032 3333
-0.0316 3279
-0.0312 3187
-0.0308 3020
-0.0304 3093
-0.03 3081
-0.0296 3160
-0.0292 3078
-0.0288 3051
-0.0284 3018
-0.028 3051
-0.0276 3004
-0.0272 2994
-0.0268 3039
-0.0264 2920
-0.026 3043
-0.0256 2952
-0.0252 2993
-0.0248 3160
-0.0244 3487
-0.024 3961
-0.0236 4225
-0.0232 4709
-0.0228 5043
-0.0224 5517
-0.022 5989
-0.0216 6382
-0.0212 6658
-0.0208 6716
-0.0204 6981
-0.02 7191
-0.0196 7627
-0.0192 7986
-0.0188 8165
-0.0184 8193
-0.018 8280
-0.0176 8035
-0.0172 6679
-0.0168 4761
-0.0164 2604
-0.016 1362
-0.0156 628
-0.0152 264
-0.0148 129
-0.0144 45
-0.014 14
-0.0136 4
-0.0132 4
-0.0128 1
-0.0124 0
-0.012 0
-0.0116 0
-0.0112 0
-0.0108 0
-0.0104 0
-0.01 0
-0.0096 0
-0.0092 0
-0.0088 0
-0.0084 0
-0.008 0
-0.0076 0
-0.0072 0
-0.0068 0
-0.0064 0
-0.006 0
-0.0056 0
-0.0052 0
-0.0048 0
-0.0044 0
-0.004 0
-0.0036 0
-0.0032 0
-0.0028 0
-0.0024 0
-0.002 0
-0.0016 0
-0.0012 0
-0.0008 0
