LECROYWR104MXi-Al‘ 54380 Histogram
Segments 1 SegmentSize 165
Segment TrigTime TimeSinceSegment1
#1 26-Jun-2017 10:51:22 0                 
Time Ampl
-3.78e-009 0
-3.755e-009 0
-3.73e-009 0
-3.705e-009 0
-3.68e-009 0
-3.655e-009 0
-3.63e-009 0
-3.605e-009 0
-3.58e-009 0
-3.555e-009 0
-3.53e-009 0
-3.505e-009 1
-3.48e-009 0
-3.455e-009 1
-3.43e-009 2
-3.405e-009 2
-3.38e-009 0
-3.355e-009 3
-3.33e-009 2
-3.305e-009 1
-3.28e-009 3
-3.255e-009 14
-3.23e-009 10
-3.205e-009 14
-3.18e-009 11
-3.155e-009 18
-3.13e-009 12
-3.105e-009 10
-3.08e-009 13
-3.055e-009 9
-3.03e-009 10
-3.005e-009 21
-2.98e-009 16
-2.955e-009 9
-2.93e-009 11
-2.905e-009 10
-2.88e-009 8
-2.855e-009 9
-2.83e-009 10
-2.805e-009 11
-2.78e-009 9
-2.755e-009 5
-2.73e-009 13
-2.705e-009 15
-2.68e-009 29
-2.655e-009 24
-2.63e-009 30
-2.605e-009 30
-2.58e-009 22
-2.555e-009 18
-2.53e-009 14
-2.505e-009 17
-2.48e-009 12
-2.455e-009 23
-2.43e-009 9
-2.405e-009 9
-2.38e-009 19
-2.355e-009 23
-2.33e-009 51
-2.305e-009 48
-2.28e-009 33
-2.255e-009 37
-2.23e-009 27
-2.205e-009 37
-2.18e-009 24
-2.155e-009 25
-2.13e-009 24
-2.105e-009 23
-2.08e-009 35
-2.055e-009 27
-2.03e-009 42
-2.005e-009 89
-1.98e-009 106
-1.955e-009 95
-1.93e-009 72
-1.905e-009 73
-1.88e-009 90
-1.855e-009 79
-1.83e-009 69
-1.805e-009 56
-1.78e-009 49
-1.755e-009 42
-1.73e-009 59
-1.705e-009 63
-1.68e-009 153
-1.655e-009 251
-1.63e-009 224
-1.605e-009 174
-1.58e-009 180
-1.555e-009 192
-1.53e-009 142
-1.505e-009 146
-1.48e-009 137
-1.455e-009 124
-1.43e-009 112
-1.405e-009 116
-1.38e-009 131
-1.355e-009 220
-1.33e-009 509
-1.305e-009 504
-1.28e-009 437
-1.255e-009 398
-1.23e-009 380
-1.205e-009 368
-1.18e-009 318
-1.155e-009 322
-1.13e-009 293
-1.105e-009 259
-1.08e-009 272
-1.055e-009 293
-1.03e-009 352
-1.005e-009 920
-9.8e-010 1432
-9.55e-010 1149
-9.3e-010 1008
-9.05e-010 1011
-8.8e-010 930
-8.55e-010 937
-8.3e-010 834
-8.05e-010 804
-7.8e-010 744
-7.55e-010 744
-7.3e-010 884
-7.05e-010 1077
-6.8e-010 2765
-6.55e-010 4747
-6.3e-010 3585
-6.05e-010 3134
-5.8e-010 2955
-5.55e-010 2841
-5.3e-010 2623
-5.05e-010 2249
-4.8e-010 2070
-4.55e-010 1891
-4.3e-010 1740
-4.05e-010 2079
-3.8e-010 6916
-3.55e-010 18949
-3.3e-010 11991
-3.05e-010 4829
-2.8e-010 1652
-2.55e-010 469
-2.3e-010 261
-2.05e-010 146
-1.8e-010 131
-1.55e-010 112
-1.3e-010 97
-1.05e-010 87
-8e-011 67
-5.5e-011 53
-3e-011 63
-5e-012 31
2e-011 22
4.5e-011 11
7e-011 6
9.5e-011 3
1.2e-010 2
1.45e-010 1
1.7e-010 2
1.95e-010 1
2.2e-010 0
2.45e-010 0
2.7e-010 0
2.95e-010 0
3.2e-010 0
