LECROYWR104MXi-Al‘ 54380 Histogram
Segments 1 SegmentSize 165
Segment TrigTime TimeSinceSegment1
#1 21-Jun-2017 14:49:14 0                 
Time Ampl
-7.88e-009 0
-7.83e-009 1
-7.78e-009 1
-7.73e-009 1
-7.68e-009 0
-7.63e-009 0
-7.58e-009 1
-7.53e-009 0
-7.48e-009 0
-7.43e-009 0
-7.38e-009 1
-7.33e-009 0
-7.28e-009 1
-7.23e-009 2
-7.18e-009 2
-7.13e-009 1
-7.08e-009 5
-7.03e-009 2
-6.98e-009 2
-6.93e-009 2
-6.88e-009 2
-6.83e-009 1
-6.78e-009 5
-6.73e-009 3
-6.68e-009 2
-6.63e-009 3
-6.58e-009 3
-6.53e-009 4
-6.48e-009 4
-6.43e-009 2
-6.38e-009 3
-6.33e-009 3
-6.28e-009 4
-6.23e-009 1
-6.18e-009 3
-6.13e-009 3
-6.08e-009 7
-6.03e-009 9
-5.98e-009 6
-5.93e-009 2
-5.88e-009 5
-5.83e-009 4
-5.78e-009 9
-5.73e-009 7
-5.68e-009 5
-5.63e-009 7
-5.58e-009 5
-5.53e-009 6
-5.48e-009 11
-5.43e-009 9
-5.38e-009 13
-5.33e-009 13
-5.28e-009 12
-5.23e-009 17
-5.18e-009 9
-5.13e-009 15
-5.08e-009 17
-5.03e-009 21
-4.98e-009 13
-4.93e-009 11
-4.88e-009 20
-4.83e-009 20
-4.78e-009 23
-4.73e-009 41
-4.68e-009 28
-4.63e-009 30
-4.58e-009 32
-4.53e-009 25
-4.48e-009 23
-4.43e-009 30
-4.38e-009 24
-4.33e-009 35
-4.28e-009 38
-4.23e-009 29
-4.18e-009 41
-4.13e-009 38
-4.08e-009 58
-4.03e-009 48
-3.98e-009 65
-3.93e-009 67
-3.88e-009 50
-3.83e-009 75
-3.78e-009 69
-3.73e-009 70
-3.68e-009 67
-3.63e-009 65
-3.58e-009 66
-3.53e-009 90
-3.48e-009 107
-3.43e-009 106
-3.38e-009 118
-3.33e-009 142
-3.28e-009 140
-3.23e-009 150
-3.18e-009 154
-3.13e-009 170
-3.08e-009 137
-3.03e-009 160
-2.98e-009 156
-2.93e-009 158
-2.88e-009 158
-2.83e-009 190
-2.78e-009 221
-2.73e-009 246
-2.68e-009 275
-2.63e-009 335
-2.58e-009 355
-2.53e-009 352
-2.48e-009 378
-2.43e-009 413
-2.38e-009 438
-2.33e-009 407
-2.28e-009 401
-2.23e-009 392
-2.18e-009 439
-2.13e-009 522
-2.08e-009 646
-2.03e-009 648
-1.98e-009 787
-1.93e-009 886
-1.88e-009 959
-1.83e-009 1026
-1.78e-009 1067
-1.73e-009 1031
-1.68e-009 1069
-1.63e-009 1046
-1.58e-009 1071
-1.53e-009 1057
-1.48e-009 1154
-1.43e-009 1494
-1.38e-009 1801
-1.33e-009 2032
-1.28e-009 2262
-1.23e-009 2574
-1.18e-009 2723
-1.13e-009 2921
-1.08e-009 2848
-1.03e-009 2907
-9.8e-010 2831
-9.3e-010 2801
-8.8e-010 2626
-8.3e-010 2571
-7.8e-010 2700
-7.3e-010 4297
-6.8e-010 5943
-6.3e-010 6266
-5.8e-010 7052
-5.3e-010 7170
-4.8e-010 5410
-4.3e-010 3355
-3.8e-010 1775
-3.3e-010 956
-2.8e-010 592
-2.3e-010 321
-1.8e-010 214
-1.3e-010 133
-8e-011 80
-3e-011 35
2e-011 25
7e-011 13
1.2e-010 8
1.7e-010 9
2.2e-010 2
2.7e-010 1
3.2e-010 0
