#Dark count rate single board 1x1n2
#Threshold[mV] Countrate[Hz] 
30 1827320
40 1633330
50 1437700
60 1232330 
70 1040140 
80 865990
90 785750
100 720790
110 654030
120 590480
130 523230
140 465570
150 408810
160 355280
170 319470
180 294770
190 269800
200 246530
210 223110
220 201250
230 178770
240 159810
250 141190
260 129900
270 120980
280 111460
290 102280
300 92660
310 84236
320 75710
330 58150
340 52869
350 56454
360 52816
370 47985
380 44672
390 40957
400 37033
410 33538
420 30572
430 27598
440 25647
450 23889
460 22054
470 20192
480 18521
490 16727
500 15145
510 13708
520 12426
530 11365
540 10509
550 9623
560 8604
570 7621
580 6658
590 5809
600 4835
610 4099
620 3343
630 2623
640 2025
650 1449
660 962
670 561
680 269
690 143
700 43
705 29
710 14
715 5.3
720 0
