#Dark count rate hybride board 4x1n6h
#Threshold[mV] Countrate[Hz]
30 4089390
40 3714300
50 3389410
60 3048560
70 2735110
80 2335230
90 2006040
100 1707480
110 1460230
120 1183740
130 1019960
140 857610
150 716430
160 602890
170 508000
180 451050
190 351180
200 320270
210 272840
220 240240
230 191820
240 110470
250 87610
260 70910
270 56170
280 46120
290 37649
300 35869
310 36169 
320 18412
330 18217
340 13655
350 12354
360 10244
370 8431 
380 7055
390 6076
400 5028
450 1774
500 684
550 256
600 91
650 31
700 13
750 4
800 2
850 0.5 
