# Curve 0 of 6, 71 points
# Curve title: "(s)-configuration"
# x y type
 0 1.11113  i
 0 1.11113  i
 30 0.818697  i
 40 -0.0288394  i
 50 -4.98741e-005  i
 0  -0.00866544  i
 70 -0.0904494  i
 80 -0.455144  i
 90 -1.0159  i
 100 -1.11333  i
 110 -1.12409  i
 120 -1.12034  i
 130 -1.16642  i
 140 -1.25414  i
 150 -1.2909  i
 160 -1.50156  i
 170 -1.8912  i
 180 -2.08861  i
 190 -2.11782  i
 200 -2.15048  i
 210 -2.18115  i
 220 -2.20212  i
 230 -2.26976  i
 240 -2.36754  i
 250 -2.59582  i
 260 -2.98783  i
 270 -3.07949  i
 280 -3.06549  i
 290 -3.06015  i
 300 -3.1012  i
 310 -3.16374  i
 320 -2.73261  i
 330 -2.86545  i
 340 -5.46574  i
 350 -8.93147  o
 360 -3.8576  i
 370 -3.89673  i
 380 -4.04411  i
 390 -3.96074  i
 400 -3.98997  i
 410 -4.12823  i
 420 -4.2123  i
 430 -4.39969  i
 440 -4.68325  i
 450 -4.71502  i
 460 -4.68649  i
 470 -4.73186  i
 480 -4.7513  i
 490 -4.77732  i
 500 -4.88909  i
 510 -4.99375  i
 520 -5.14258  i
 530 -5.34325  i
 540 -5.43898  i
 550 -5.34953  i
 560 -5.29986  i
 570 -5.32824  i
 580 -5.39958  i
 590 -5.39353  i
 600 -5.45752  i
 610 -5.59389  i
 620 -5.60468  i
 630 -5.7179  i
 640 -5.83359  i
 650 -5.93292  i
 660 -6.11279  i
 670 -6.36074  i
 680 -6.86629  i
 690 -7.48123  i
 700 -7.83376  o
 705 -8.84132  o


# Curve 1 of 6, 37 points
# Curve title: "(p)-configuration"
# x y type
 0  1.60215  i
 0  1.60215  i
 30  1.34127  i
 40 -0.0917126  i
 50 -4.30589e-005  i
 60  0.0825676  i
 70 -0.0322808  i
 80  0.000765963  i
 90  0.000263586  i
 100 -0.205719  i
 110 -0.31626  i
 120 -0.380939  i
 130 -0.492933  i
 140 -0.530308  i
 150 -0.616098  i
 160 -0.749779  i
 170 -0.812523  i
 180 -0.88776  i
 190 -1.05038  i
 200 -1.19827  i
 210 -1.32024  i
 220 -1.46487  i
 230 -1.49842  i
 240 -1.62137  i
 250 -1.81991  i
 260 -1.84559  i
 270 -1.88721  i
 280 -2.06774  i
 290 -2.23219  i
 300 -2.38354  i
 310 -2.49506  i
 320 -2.59173  i
 330 -2.70728  i
 340 -2.80473  i
 350 -2.92697  i
 360 -3.03699  i
 370 -3.11505  i


# Curve 2 of 6, 46 points
# Curve title: "(h)-configuration"
# x y type
 0  1.40979  i
 0  1.40979  i
 30  1.12845  i
 40  0.0501537  i
 50  6.00835e-007  i
 60 -0.017332  i
 70  0.0690455  i
 80  0.0908711  i
 90 -0.0587572  i
 100 -0.198628  i
 110 -0.239903  i
 120 -0.41351  i
 130 -0.713603  i
 140 -0.785417  i
 150 -0.960733  i
 160 -1.16129  i
 170 -1.47807  i
 180 -1.4458  i
 190 -1.62738  i
 200 -2.13984  i
 210 -2.1185  i
 220 -2.1062  i
 230 -1.63514  i
 240 -1.85449  i
 250 -2.82308  i
 260 -3.05282  i
 270 -3.29046  i
 280 -3.58199  i
 290 -4.17352  i
 300 -6.10886  i
 310 -3.64116  i
 320 -3.6132  i
 330 -4.94128  i
 340 -4.73224  i
 350 -5.27389  i
 360 -5.13404  i
 370 -5.34119  i
 380 -5.64436  i
 390 -5.79434  i
 400 -6.17067  i
 450 -6.64154  i
 500 -7.69294  i
 550 -8.6329  o
 600 -9.60199  o
 650 -10.6614  o
 700 -11.7223  o


