LECROYWR104MXi-Al‘ 54380 Histogram
Segments 1 SegmentSize 197
Segment TrigTime TimeSinceSegment1
#1 13-Jul-2017 10:11:48 0                 
Time Ampl
-0.03598 3
-0.03588 4
-0.03578 2
-0.03568 1
-0.03558 2
-0.03548 1
-0.03538 4
-0.03528 1
-0.03518 1
-0.03508 5
-0.03498 2
-0.03488 2
-0.03478 0
-0.03468 3
-0.03458 4
-0.03448 1
-0.03438 3
-0.03428 1
-0.03418 3
-0.03408 5
-0.03398 3
-0.03388 3
-0.03378 4
-0.03368 3
-0.03358 5
-0.03348 6
-0.03338 2
-0.03328 2
-0.03318 4
-0.03308 5
-0.03298 6
-0.03288 7
-0.03278 3
-0.03268 8
-0.03258 3
-0.03248 4
-0.03238 2
-0.03228 2
-0.03218 6
-0.03208 6
-0.03198 1
-0.03188 7
-0.03178 6
-0.03168 2
-0.03158 5
-0.03148 4
-0.03138 4
-0.03128 5
-0.03118 5
-0.03108 5
-0.03098 2
-0.03088 3
-0.03078 3
-0.03068 9
-0.03058 4
-0.03048 10
-0.03038 9
-0.03028 5
-0.03018 8
-0.03008 5
-0.02998 5
-0.02988 4
-0.02978 7
-0.02968 7
-0.02958 12
-0.02948 11
-0.02938 8
-0.02928 10
-0.02918 8
-0.02908 7
-0.02898 13
-0.02888 8
-0.02878 9
-0.02868 11
-0.02858 5
-0.02848 13
-0.02838 16
-0.02828 11
-0.02818 9
-0.02808 15
-0.02798 11
-0.02788 13
-0.02778 11
-0.02768 6
-0.02758 10
-0.02748 7
-0.02738 16
-0.02728 10
-0.02718 10
-0.02708 19
-0.02698 18
-0.02688 16
-0.02678 14
-0.02668 16
-0.02658 11
-0.02648 9
-0.02638 17
-0.02628 13
-0.02618 17
-0.02608 18
-0.02598 18
-0.02588 12
-0.02578 22
-0.02568 21
-0.02558 18
-0.02548 21
-0.02538 11
-0.02528 21
-0.02518 20
-0.02508 17
-0.02498 13
-0.02488 19
-0.02478 27
-0.02468 24
-0.02458 30
-0.02448 22
-0.02438 29
-0.02428 37
-0.02418 32
-0.02408 28
-0.02398 34
-0.02388 22
-0.02378 37
-0.02368 32
-0.02358 22
-0.02348 36
-0.02338 30
-0.02328 39
-0.02318 32
-0.02308 39
-0.02298 41
-0.02288 36
-0.02278 27
-0.02268 47
-0.02258 33
-0.02248 39
-0.02238 38
-0.02228 42
-0.02218 51
-0.02208 55
-0.02198 51
-0.02188 35
-0.02178 45
-0.02168 52
-0.02158 39
-0.02148 46
-0.02138 47
-0.02128 53
-0.02118 48
-0.02108 38
-0.02098 48
-0.02088 43
-0.02078 50
-0.02068 65
-0.02058 63
-0.02048 61
-0.02038 77
-0.02028 57
-0.02018 49
-0.02008 63
-0.01998 79
-0.01988 63
-0.01978 86
-0.01968 85
-0.01958 90
-0.01948 73
-0.01938 87
-0.01928 89
-0.01918 94
-0.01908 88
-0.01898 88
-0.01888 111
-0.01878 114
-0.01868 102
-0.01858 111
-0.01848 104
-0.01838 100
-0.01828 111
-0.01818 128
-0.01808 118
-0.01798 131
-0.01788 123
-0.01778 133
-0.01768 141
-0.01758 108
-0.01748 142
-0.01738 143
-0.01728 139
-0.01718 133
-0.01708 121
-0.01698 125
-0.01688 132
-0.01678 125
-0.01668 123
-0.01658 136
-0.01648 145
-0.01638 148
