LECROYWR104MXi-Al‘ 54380 Histogram
Segments 1 SegmentSize 192
Segment TrigTime TimeSinceSegment1
#1 14-Jul-2017 11:27:01 0                 
Time Ampl
-0.0487 0
-0.04845 0
-0.0482 0
-0.04795 0
-0.0477 0
-0.04745 0
-0.0472 0
-0.04695 0
-0.0467 0
-0.04645 0
-0.0462 0
-0.04595 0
-0.0457 0
-0.04545 0
-0.0452 0
-0.04495 0
-0.0447 0
-0.04445 0
-0.0442 0
-0.04395 0
-0.0437 0
-0.04345 0
-0.0432 0
-0.04295 0
-0.0427 0
-0.04245 0
-0.0422 0
-0.04195 0
-0.0417 0
-0.04145 0
-0.0412 0
-0.04095 0
-0.0407 0
-0.04045 0
-0.0402 0
-0.03995 0
-0.0397 0
-0.03945 0
-0.0392 0
-0.03895 0
-0.0387 0
-0.03845 0
-0.0382 0
-0.03795 0
-0.0377 0
-0.03745 0
-0.0372 0
-0.03695 0
-0.0367 0
-0.03645 0
-0.0362 0
-0.03595 0
-0.0357 0
-0.03545 0
-0.0352 0
-0.03495 0
-0.0347 0
-0.03445 0
-0.0342 105
-0.03395 3
-0.0337 8
-0.03345 2
-0.0332 12
-0.03295 5
-0.0327 13
-0.03245 13
-0.0322 1
-0.03195 8
-0.0317 4
-0.03145 8
-0.0312 4
-0.03095 10
-0.0307 15
-0.03045 7
-0.0302 11
-0.02995 8
-0.0297 20
-0.02945 7
-0.0292 17
-0.02895 13
-0.0287 17
-0.02845 31
-0.0282 10
-0.02795 27
-0.0277 13
-0.02745 23
-0.0272 14
-0.02695 34
-0.0267 25
-0.02645 18
-0.0262 32
-0.02595 16
-0.0257 44
-0.02545 22
-0.0252 36
-0.02495 18
-0.0247 43
-0.02445 55
-0.0242 30
-0.02395 69
-0.0237 35
-0.02345 79
-0.0232 42
-0.02295 75
-0.0227 52
-0.02245 26
-0.0222 74
-0.02195 43
-0.0217 86
-0.02145 33
-0.0212 84
-0.02095 53
-0.0207 92
-0.02045 107
-0.0202 40
-0.01995 122
-0.0197 44
-0.01945 133
-0.0192 74
-0.01895 158
-0.0187 157
-0.01845 74
-0.0182 177
-0.01795 72
-0.0177 171
-0.01745 102
-0.0172 211
-0.01695 90
-0.0167 207
-0.01645 283
-0.0162 138
-0.01595 267
-0.0157 141
-0.01545 288
-0.0152 132
-0.01495 263
-0.0147 269
-0.01445 178
-0.0142 270
-0.01395 175
-0.0137 346
-0.01345 143
-0.0132 97
-0.01295 0
-0.0127 0
-0.01245 0
-0.0122 0
-0.01195 0
-0.0117 0
-0.01145 0
-0.0112 0
-0.01095 0
-0.0107 0
-0.01045 0
-0.0102 0
-0.00995 0
-0.0097 0
-0.00945 0
-0.0092 0
-0.00895 0
-0.0087 0
-0.00845 0
-0.0082 0
-0.00795 0
-0.0077 0
-0.00745 0
-0.0072 0
-0.00695 0
-0.0067 0
-0.00645 0
-0.0062 0
-0.00595 0
-0.0057 0
-0.00545 0
-0.0052 0
-0.00495 0
-0.0047 0
-0.00445 0
-0.0042 0
-0.00395 0
-0.0037 0
-0.00345 0
-0.0032 0
-0.00295 0
-0.0027 0
-0.00245 0
-0.0022 0
-0.00195 0
-0.0017 0
-0.00145 0
-0.0012 0
-0.00095 0
