LECROYWR104MXi-Al‘ 54380 Histogram
Segments 1 SegmentSize 197
Segment TrigTime TimeSinceSegment1
#1 13-Jul-2017 10:50:46 0                 
Time Ampl
-0.03598 0
-0.03588 0
-0.03578 0
-0.03568 0
-0.03558 0
-0.03548 0
-0.03538 0
-0.03528 0
-0.03518 0
-0.03508 0
-0.03498 0
-0.03488 0
-0.03478 0
-0.03468 0
-0.03458 0
-0.03448 0
-0.03438 0
-0.03428 0
-0.03418 0
-0.03408 0
-0.03398 0
-0.03388 0
-0.03378 0
-0.03368 0
-0.03358 0
-0.03348 0
-0.03338 0
-0.03328 0
-0.03318 0
-0.03308 0
-0.03298 0
-0.03288 0
-0.03278 0
-0.03268 0
-0.03258 0
-0.03248 0
-0.03238 0
-0.03228 0
-0.03218 0
-0.03208 0
-0.03198 0
-0.03188 0
-0.03178 0
-0.03168 0
-0.03158 0
-0.03148 0
-0.03138 0
-0.03128 0
-0.03118 0
-0.03108 0
-0.03098 0
-0.03088 0
-0.03078 0
-0.03068 0
-0.03058 0
-0.03048 0
-0.03038 0
-0.03028 0
-0.03018 0
-0.03008 0
-0.02998 0
-0.02988 0
-0.02978 0
-0.02968 0
-0.02958 0
-0.02948 0
-0.02938 0
-0.02928 0
-0.02918 0
-0.02908 0
-0.02898 0
-0.02888 0
-0.02878 0
-0.02868 0
-0.02858 0
-0.02848 0
-0.02838 0
-0.02828 0
-0.02818 0
-0.02808 0
-0.02798 0
-0.02788 0
-0.02778 0
-0.02768 0
-0.02758 0
-0.02748 0
-0.02738 0
-0.02728 0
-0.02718 0
-0.02708 0
-0.02698 0
-0.02688 0
-0.02678 0
-0.02668 0
-0.02658 0
-0.02648 0
-0.02638 0
-0.02628 0
-0.02618 0
-0.02608 0
-0.02598 0
-0.02588 0
-0.02578 0
-0.02568 0
-0.02558 0
-0.02548 0
-0.02538 0
-0.02528 0
-0.02518 0
-0.02508 0
-0.02498 0
-0.02488 0
-0.02478 0
-0.02468 0
-0.02458 0
-0.02448 0
-0.02438 0
-0.02428 0
-0.02418 0
-0.02408 0
-0.02398 0
-0.02388 0
-0.02378 0
-0.02368 0
-0.02358 0
-0.02348 0
-0.02338 0
-0.02328 0
-0.02318 0
-0.02308 0
-0.02298 0
-0.02288 0
-0.02278 0
-0.02268 0
-0.02258 0
-0.02248 0
-0.02238 0
-0.02228 0
-0.02218 0
-0.02208 0
-0.02198 0
-0.02188 0
-0.02178 0
-0.02168 0
-0.02158 0
-0.02148 0
-0.02138 0
-0.02128 0
-0.02118 0
-0.02108 0
-0.02098 0
-0.02088 0
-0.02078 0
-0.02068 0
-0.02058 0
-0.02048 0
-0.02038 0
-0.02028 0
-0.02018 0
-0.02008 0
-0.01998 0
-0.01988 0
-0.01978 0
-0.01968 0
-0.01958 0
-0.01948 0
-0.01938 0
-0.01928 0
-0.01918 0
-0.01908 0
-0.01898 0
-0.01888 0
-0.01878 0
-0.01868 0
-0.01858 0
-0.01848 0
-0.01838 0
-0.01828 0
-0.01818 0
-0.01808 0
-0.01798 0
-0.01788 0
-0.01778 0
-0.01768 0
-0.01758 0
-0.01748 0
-0.01738 0
-0.01728 0
-0.01718 0
-0.01708 0
-0.01698 0
-0.01688 0
-0.01678 0
-0.01668 0
-0.01658 0
-0.01648 0
-0.01638 0
