X,Y,Det2
-6,1,2956
-6,0,2990
-6,-1,3041
,,
-5,9,2722
-5,7,3746
-5,5,3841
-5,3,3860
-5,1,4022
-5,0,3957
-5,-1,4149
-5,-3,4100
-5,-5,4116
-5,-7,4240
-5,-9,2823
,,
-4,1,5153
-4,0,4911
-4,-1,5001
,,
-3,11,2283
-3,9,4737
-3,7,4816
-3,5,4650
-3,3,4581
-3,1,4957
-3,0,4970
-3,-1,5031
-3,-3,4992
-3,-5,5417
-3,-7,6032
-3,-9,5883
-3,-11,2600
,,
-2,1,4862
-2,0,4825
-2,-1,5007
,,
-1,12,2031
-1,11,2327
-1,10,2843
-1,9,3893
-1,8,4462
-1,7,5211
-1,6,5358
-1,5,5033
-1,4,4944
-1,3,4982
-1,2,4790
-1,1,4905
-1,0,4934
-1,-1,5107
-1,-2,5287
-1,-3,5294
-1,-4,5684
-1,-5,6028
-1,-6,6462
-1,-7,7233
-1,-8,7020
-1,-9,5922
-1,-10,6272
-1,-11,6921
-1,-12,7813
,,
0,12,2266
0,11,2201
0,10,2653
0,9,3917
0,8,4429
0,7,5087
0,6,5117
0,5,5035
0,4,4918
0,3,4811
0,2,4953
0,1,4928
0,0,4907
0,-1,5081
0,-2,5147
0,-3,5546
0,-4,5678
0,-5,5954
0,-6,6514
0,-7,7075
0,-8,7236
0,-9,6255
0,-10,6878
0,-11,7847
0,-12,7316
,,
1,12,1946
1,11,2243
1,10,2735
1,9,3623
1,8,4143
1,7,5175
1,6,5050
1,5,5076
1,4,4959
1,3,4743
1,2,4789
1,1,4712
1,0,4727
1,-1,4879
1,-2,5068
1,-3,5435
1,-4,5489
1,-5,5916
1,-6,6352
1,-7,6995
1,-8,7067
1,-9,5949
1,-10,6347
1,-11,6876
1,-12,6463
,,
2,1,4821
2,0,4840
2,-1,4977
,,
3,11,2602
3,9,5161
3,7,5120
3,5,4955
3,3,4746
3,1,4917
3,0,4867
3,-1,4947
3,-3,5120
3,-5,5574
3,-7,6173
3,-9,5637
3,-11,2143
,,
4,1,4730
4,0,4806
4,-1,4817
,,
5,9,2777
5,7,3938
5,5,3832
5,3,3891
5,1,3772
5,0,3876
5,-1,3857
5,-3,4238
5,-5,4470
5,-7,4523
5,-9,2440
,,
6,1,3087
6,0,2737
6,-1,2870
