LECROYWR104MXi-Al‘ 54380 Waveform
Segments 1 SegmentSize 5002
Segment TrigTime TimeSinceSegment1
#1 20-Jul-2017 09:34:26 0                 
Time Ampl
-5.001204e-007 -6.00255e-005
-4.999204e-007 -5.87755e-005
-4.997204e-007 -5.56507e-005
-4.995204e-007 -5.00259e-005
-4.993204e-007 -4.06512e-005
-4.991204e-007 -2.87767e-005
-4.989204e-007 -1.25273e-005
-4.987204e-007 4.34703e-006
-4.985204e-007 2.30963e-005
-4.983204e-007 3.99707e-005
-4.981204e-007 5.30952e-005
-4.979204e-007 6.18448e-005
-4.977204e-007 6.55947e-005
-4.975204e-007 6.43447e-005
-4.973204e-007 5.55951e-005
-4.971204e-007 3.99707e-005
-4.969204e-007 1.93465e-005
-4.967204e-007 -6.90253e-006
-4.965204e-007 -3.50265e-005
-4.963204e-007 -6.44003e-005
-4.961204e-007 -9.31492e-005
-4.959204e-007 -0.000120023
-4.957204e-007 -0.000144397
-4.955204e-007 -0.000164396
-4.953204e-007 -0.000178771
-4.951204e-007 -0.000188771
-4.949204e-007 -0.000193145
-4.947204e-007 -0.000194395
-4.945204e-007 -0.00019127
-4.943204e-007 -0.000183771
-4.941204e-007 -0.000173146
-4.939204e-007 -0.000161272
-4.937204e-007 -0.000147522
-4.935204e-007 -0.000131898
-4.933204e-007 -0.000115023
-4.931204e-007 -9.8149e-005
-4.929204e-007 -7.93998e-005
-4.927204e-007 -6.00255e-005
-4.925204e-007 -3.94013e-005
-4.923204e-007 -1.87771e-005
-4.921204e-007 1.84713e-006
-4.919204e-007 2.12214e-005
-4.917204e-007 3.93457e-005
-4.915204e-007 5.49701e-005
-4.913204e-007 6.93445e-005
-4.911204e-007 8.05941e-005
-4.909204e-007 8.80938e-005
-4.907204e-007 9.18437e-005
-4.905204e-007 9.24686e-005
-4.903204e-007 9.12187e-005
-4.901204e-007 8.80938e-005
-4.899204e-007 8.18441e-005
-4.897204e-007 7.49693e-005
-4.895204e-007 6.68446e-005
-4.893204e-007 5.87199e-005
-4.891204e-007 4.99703e-005
-4.889204e-007 3.99707e-005
-4.887204e-007 2.9971e-005
-4.885204e-007 2.05964e-005
-4.883204e-007 1.05968e-005
-4.881204e-007 2.47211e-006
-4.879204e-007 -5.02761e-006
-4.877204e-007 -9.40244e-006
-4.875204e-007 -1.00274e-005
-4.873204e-007 -6.27756e-006
-4.871204e-007 1.84713e-006
-4.869204e-007 1.37217e-005
-4.867204e-007 2.87211e-005
-4.865204e-007 4.62204e-005
-4.863204e-007 6.43447e-005
-4.861204e-007 8.2469e-005
-4.859204e-007 9.68435e-005
-4.857204e-007 0.000108093
-4.855204e-007 0.000114343
-4.853204e-007 0.000115593
-4.851204e-007 0.000112468
-4.849204e-007 0.000106218
-4.847204e-007 9.80934e-005
-4.845204e-007 8.93438e-005
-4.843204e-007 8.3094e-005
-4.841204e-007 8.12191e-005
-4.839204e-007 8.4344e-005
-4.837204e-007 9.18437e-005
-4.835204e-007 0.000105593
-4.833204e-007 0.000123092
-4.831204e-007 0.000143717
-4.829204e-007 0.000164966
-4.827204e-007 0.00018559
-4.825204e-007 0.000202464
-4.823204e-007 0.000215589
-4.821204e-007 0.000222464
-4.819204e-007 0.000223714
-4.817204e-007 0.000219964
-4.815204e-007 0.000211214
-4.813204e-007 0.00019809
-4.811204e-007 0.000182465
-4.809204e-007 0.000166216
-4.807204e-007 0.000148716
-4.805204e-007 0.000129967
-4.803204e-007 0.000111218
-4.801204e-007 9.12187e-005
-4.799204e-007 7.05945e-005
-4.797204e-007 4.93453e-005
-4.795204e-007 2.74711e-005
-4.793204e-007 4.34703e-006
-4.791204e-007 -1.87771e-005
-4.789204e-007 -4.19012e-005
-4.787204e-007 -6.31504e-005
-4.785204e-007 -8.25246e-005
-4.783204e-007 -9.8149e-005
-4.781204e-007 -0.000111274
-4.779204e-007 -0.000120648
-4.777204e-007 -0.000126273
-4.775204e-007 -0.000127523
-4.773204e-007 -0.000125648
-4.771204e-007 -0.000119398
-4.769204e-007 -0.000110024
-4.767204e-007 -9.8149e-005
-4.765204e-007 -8.50245e-005
-4.763204e-007 -6.81502e-005
-4.761204e-007 -4.94009e-005
-4.759204e-007 -2.94017e-005
-4.757204e-007 -8.15249e-006
-4.755204e-007 1.24717e-005
-4.753204e-007 3.1846e-005
-4.751204e-007 4.87203e-005
