LECROYWR104MXi-Al‘ 54380 Waveform
Segments 1 SegmentSize 10002
Segment TrigTime TimeSinceSegment1
#1 20-Jul-2017 09:51:04 0                 
Time Ampl
-8.760143e-007 0.00125399
-8.758143e-007 0.00187896
-8.756143e-007 0.00245394
-8.754143e-007 0.00297892
-8.752143e-007 0.0034289
-8.750143e-007 0.00382889
-8.748143e-007 0.00415387
-8.746143e-007 0.00442886
-8.744143e-007 0.00465385
-8.742143e-007 0.00482885
-8.740143e-007 0.00500384
-8.738143e-007 0.00510384
-8.736143e-007 0.00517883
-8.734143e-007 0.00520383
-8.732143e-007 0.00515384
-8.730143e-007 0.00505384
-8.728143e-007 0.00485385
-8.726143e-007 0.00455386
-8.724143e-007 0.00410388
-8.722143e-007 0.0035289
-8.720143e-007 0.00280393
-8.718143e-007 0.00192896
-8.716143e-007 0.000928998
-8.714143e-007 -0.00017096
-8.712143e-007 -0.00132092
-8.710143e-007 -0.00249587
-8.708143e-007 -0.00362083
-8.706143e-007 -0.00469579
-8.704143e-007 -0.00567075
-8.702143e-007 -0.00647072
-8.700143e-007 -0.00714569
-8.698143e-007 -0.00764567
-8.696143e-007 -0.00799566
-8.694143e-007 -0.00822065
-8.692143e-007 -0.00832065
-8.690143e-007 -0.00837064
-8.688143e-007 -0.00842064
-8.686143e-007 -0.00844564
-8.684143e-007 -0.00849564
-8.682143e-007 -0.00854564
-8.680143e-007 -0.00864563
-8.678143e-007 -0.00869563
-8.676143e-007 -0.00872063
-8.674143e-007 -0.00869563
-8.672143e-007 -0.00857064
-8.670143e-007 -0.00834565
-8.668143e-007 -0.00797066
-8.666143e-007 -0.00752068
-8.664143e-007 -0.0069707
-8.662143e-007 -0.00632072
-8.660143e-007 -0.00562075
-8.658143e-007 -0.00489578
-8.656143e-007 -0.00419581
-8.654143e-007 -0.00354583
-8.652143e-007 -0.00299585
-8.650143e-007 -0.00257087
-8.648143e-007 -0.00229588
-8.646143e-007 -0.00214588
-8.644143e-007 -0.00217088
-8.642143e-007 -0.00229588
-8.640143e-007 -0.00257087
-8.638143e-007 -0.00292085
-8.636143e-007 -0.00329584
-8.634143e-007 -0.00374582
-8.632143e-007 -0.00419581
-8.630143e-007 -0.00464579
-8.628143e-007 -0.00507077
-8.626143e-007 -0.00552075
-8.624143e-007 -0.00594574
-8.622143e-007 -0.00634572
-8.620143e-007 -0.00677071
-8.618143e-007 -0.00722069
-8.616143e-007 -0.00767067
-8.614143e-007 -0.00814565
-8.612143e-007 -0.00862064
-8.610143e-007 -0.00904562
-8.608143e-007 -0.0094706
-8.606143e-007 -0.00987059
-8.604143e-007 -0.0102706
-8.602143e-007 -0.0106206
-8.600143e-007 -0.0109705
-8.598143e-007 -0.0112705
-8.596143e-007 -0.0115705
-8.594143e-007 -0.0118455
-8.592143e-007 -0.0121205
-8.590143e-007 -0.0123955
-8.588143e-007 -0.0126705
-8.586143e-007 -0.0128955
-8.584143e-007 -0.0130955
-8.582143e-007 -0.0132455
-8.580143e-007 -0.0133205
-8.578143e-007 -0.0133205
-8.576143e-007 -0.0132205
-8.574143e-007 -0.0129955
-8.572143e-007 -0.0126705
-8.570143e-007 -0.0122455
-8.568143e-007 -0.0117705
-8.566143e-007 -0.0112455
-8.564143e-007 -0.0106456
-8.562143e-007 -0.0100206
-8.560143e-007 -0.0094456
-8.558143e-007 -0.00894562
-8.556143e-007 -0.00852064
-8.554143e-007 -0.00819565
-8.552143e-007 -0.00797066
-8.550143e-007 -0.00784567
-8.548143e-007 -0.00784567
-8.546143e-007 -0.00794566
-8.544143e-007 -0.00814565
-8.542143e-007 -0.00842064
-8.540143e-007 -0.00869563
-8.538143e-007 -0.00894562
-8.536143e-007 -0.00912062
-8.534143e-007 -0.00919561
-8.532143e-007 -0.00917061
-8.530143e-007 -0.00902062
-8.528143e-007 -0.00877063
-8.526143e-007 -0.00847064
-8.524143e-007 -0.00814565
-8.522143e-007 -0.00784567
-8.520143e-007 -0.00759567
-8.518143e-007 -0.00747068
-8.516143e-007 -0.00744568
-8.514143e-007 -0.00759567
-8.512143e-007 -0.00787066
-8.510143e-007 -0.00829565
-8.508143e-007 -0.00887063
-8.506143e-007 -0.0094956
-8.504143e-007 -0.0101706
-8.502143e-007 -0.0108705
-8.500143e-007 -0.0115705
-8.498143e-007 -0.0122705
-8.496143e-007 -0.0129455
-8.494143e-007 -0.0136204
-8.492143e-007 -0.0142954
-8.490143e-007 -0.0149704
-8.488143e-007 -0.0156704
-8.486143e-007 -0.0163953
-8.484143e-007 -0.0171453
-8.482143e-007 -0.0179203
-8.480143e-007 -0.0186952
-8.478143e-007 -0.0194452
-8.476143e-007 -0.0201702
-8.474143e-007 -0.0208202
-8.472143e-007 -0.0214201
-8.470143e-007 -0.0219201
-8.468143e-007 -0.0223451
-8.466143e-007 -0.0227201
-8.464143e-007 -0.0230451
-8.462143e-007 -0.0233451
-8.460143e-007 -0.0236201
-8.458143e-007 -0.02387
-8.456143e-007 -0.024145
-8.454143e-007 -0.02437
-8.452143e-007 -0.024595
-8.450143e-007 -0.024795
-8.448143e-007 -0.024945
-8.446143e-007 -0.024995
-8.444143e-007 -0.024945
-8.442143e-007 -0.02477
-8.440143e-007 -0.024495
-8.438143e-007 -0.02412
-8.436143e-007 -0.0236451
-8.434143e-007 -0.0230701
-8.432143e-007 -0.0224951
-8.430143e-007 -0.0218701
-8.428143e-007 -0.0212701
-8.426143e-007 -0.0206952
-8.424143e-007 -0.0201952
-8.422143e-007 -0.0197952
-8.420143e-007 -0.0194202
-8.418143e-007 -0.0190202
-8.416143e-007 -0.0186702
-8.414143e-007 -0.0182703
-8.412143e-007 -0.0178453
-8.410143e-007 -0.0173203
-8.408143e-007 -0.0167453
-8.406143e-007 -0.0160953
-8.404143e-007 -0.0153954
-8.402143e-007 -0.0146704
-8.400143e-007 -0.0139954
-8.398143e-007 -0.0133705
-8.396143e-007 -0.0128455
-8.394143e-007 -0.0124205
-8.392143e-007 -0.0121205
-8.390143e-007 -0.0119205
-8.388143e-007 -0.0117955
-8.386143e-007 -0.0117205
-8.384143e-007 -0.0116205
-8.382143e-007 -0.0114705
-8.380143e-007 -0.0112455
-8.378143e-007 -0.0109455
-8.376143e-007 -0.0105206
-8.374143e-007 -0.0100456
-8.372143e-007 -0.0094956
-8.370143e-007 -0.00892062
-8.368143e-007 -0.00837064
-8.366143e-007 -0.00787066
-8.364143e-007 -0.00747068
-8.362143e-007 -0.00722069
-8.360143e-007 -0.00709569
-8.358143e-007 -0.00709569
-8.356143e-007 -0.00727069
-8.354143e-007 -0.00759567
-8.352143e-007 -0.00804566
-8.350143e-007 -0.00859564
-8.348143e-007 -0.00919561
-8.346143e-007 -0.00989559
-8.344143e-007 -0.0106206
-8.342143e-007 -0.0113705
-8.340143e-007 -0.0120955
-8.338143e-007 -0.0127955
-8.336143e-007 -0.0134954
-8.334143e-007 -0.0141704
-8.332143e-007 -0.0148204
-8.330143e-007 -0.0154204
-8.328143e-007 -0.0159454
-8.326143e-007 -0.0164703
-8.324143e-007 -0.0169453
-8.322143e-007 -0.0174203
-8.320143e-007 -0.0179203
-8.318143e-007 -0.0184453
-8.316143e-007 -0.0189952
-8.314143e-007 -0.0195452
-8.312143e-007 -0.0201202
-8.310143e-007 -0.0206702
-8.308143e-007 -0.0212202
-8.306143e-007 -0.0216951
-8.304143e-007 -0.0221201
-8.302143e-007 -0.0224201
-8.300143e-007 -0.0225951
-8.298143e-007 -0.0226951
-8.296143e-007 -0.0226701
-8.294143e-007 -0.0225951
-8.292143e-007 -0.0224201
-8.290143e-007 -0.0221951
-8.288143e-007 -0.0219451
-8.286143e-007 -0.0217201
-8.284143e-007 -0.0214951
-8.282143e-007 -0.0212701
-8.280143e-007 -0.0210952
-8.278143e-007 -0.0209202
-8.276143e-007 -0.0207452
-8.274143e-007 -0.0205202
-8.272143e-007 -0.0202702
-8.270143e-007 -0.0199452
-8.268143e-007 -0.0195202
-8.266143e-007 -0.0190202
-8.264143e-007 -0.0184453
-8.262143e-007 -0.0177453
-8.260143e-007 -0.0169703
-8.258143e-007 -0.0161953
-8.256143e-007 -0.0154204
-8.254143e-007 -0.0146704
-8.252143e-007 -0.0139704
-8.250143e-007 -0.0133455
-8.248143e-007 -0.0127955
-8.246143e-007 -0.0123705
-8.244143e-007 -0.0120205
-8.242143e-007 -0.0117455
-8.240143e-007 -0.0115455
-8.238143e-007 -0.0113455
-8.236143e-007 -0.0111955
-8.234143e-007 -0.0110205
-8.232143e-007 -0.0108455
-8.230143e-007 -0.0106706
-8.228143e-007 -0.0104206
-8.226143e-007 -0.0101956
-8.224143e-007 -0.00999558
-8.222143e-007 -0.00979559
-8.220143e-007 -0.0096706
-8.218143e-007 -0.0096206
-8.216143e-007 -0.0096456
-8.214143e-007 -0.00974559
-8.212143e-007 -0.00989559
-8.210143e-007 -0.0100956
-8.208143e-007 -0.0103456
-8.206143e-007 -0.0106456
-8.204143e-007 -0.0109455
-8.202143e-007 -0.0112205
-8.200143e-007 -0.0114705
-8.198143e-007 -0.0116455
-8.196143e-007 -0.0117955
-8.194143e-007 -0.0118455
-8.192143e-007 -0.0118205
-8.190143e-007 -0.0117205
-8.188143e-007 -0.0114955
-8.186143e-007 -0.0112205
-8.184143e-007 -0.0108955
-8.182143e-007 -0.0104956
-8.180143e-007 -0.0100456
-8.178143e-007 -0.0095956
-8.176143e-007 -0.00912062
-8.174143e-007 -0.00867063
-8.172143e-007 -0.00822065
-8.170143e-007 -0.00782067
-8.168143e-007 -0.00744568
-8.166143e-007 -0.00714569
-8.164143e-007 -0.0068707
-8.162143e-007 -0.00664571
-8.160143e-007 -0.00642072
-8.158143e-007 -0.00622073
-8.156143e-007 -0.00599574
-8.154143e-007 -0.00584574
-8.152143e-007 -0.00572075
-8.150143e-007 -0.00564575
-8.148143e-007 -0.00562075
-8.146143e-007 -0.00572075
-8.144143e-007 -0.00597074
-8.142143e-007 -0.00637072
-8.140143e-007 -0.0069207
-8.138143e-007 -0.00762067
-8.136143e-007 -0.00849564
-8.134143e-007 -0.0094956
-8.132143e-007 -0.0105706
-8.130143e-007 -0.0117205
-8.128143e-007 -0.0128705
-8.126143e-007 -0.0140454
-8.124143e-007 -0.0151954
-8.122143e-007 -0.0162453
-8.120143e-007 -0.0172203
-8.118143e-007 -0.0180953
-8.116143e-007 -0.0188452
-8.114143e-007 -0.0194702
-8.112143e-007 -0.0199452
-8.110143e-007 -0.0202202
-8.108143e-007 -0.0203452
-8.106143e-007 -0.0202952
