LECROYWR104MXi-Al‘ 54380 Waveform
Segments 1 SegmentSize 10002
Segment TrigTime TimeSinceSegment1
#1 20-Jul-2017 10:12:16 0                 
Time Ampl
-8.760339e-007 0.000263279
-8.758339e-007 0.000272778
-8.756339e-007 0.000279528
-8.754339e-007 0.000283278
-8.752339e-007 0.000283528
-8.750339e-007 0.000280528
-8.748339e-007 0.000274528
-8.746339e-007 0.000265529
-8.744339e-007 0.000254779
-8.742339e-007 0.00024203
-8.740339e-007 0.00022803
-8.738339e-007 0.000213281
-8.736339e-007 0.000198031
-8.734339e-007 0.000182782
-8.732339e-007 0.000167282
-8.730339e-007 0.000152033
-8.728339e-007 0.000136784
-8.726339e-007 0.000121534
-8.724339e-007 0.000106535
-8.722339e-007 9.17853e-005
-8.720339e-007 7.80358e-005
-8.718339e-007 6.52863e-005
-8.716339e-007 5.37867e-005
-8.714339e-007 4.42871e-005
-8.712339e-007 3.70374e-005
-8.710339e-007 3.22876e-005
-8.708339e-007 2.97877e-005
-8.706339e-007 2.97877e-005
-8.704339e-007 3.20376e-005
-8.702339e-007 3.62874e-005
-8.700339e-007 4.17872e-005
-8.698339e-007 4.85369e-005
-8.696339e-007 5.60366e-005
-8.694339e-007 6.40363e-005
-8.692339e-007 7.1786e-005
-8.690339e-007 7.90358e-005
-8.688339e-007 8.57855e-005
-8.686339e-007 9.15353e-005
-8.684339e-007 9.60351e-005
-8.682339e-007 9.9535e-005
-8.680339e-007 0.000101535
-8.678339e-007 0.000102285
-8.676339e-007 0.000101285
-8.674339e-007 9.9035e-005
-8.672339e-007 9.57851e-005
-8.670339e-007 9.17853e-005
-8.668339e-007 8.72854e-005
-8.666339e-007 8.30356e-005
-8.664339e-007 7.92858e-005
-8.662339e-007 7.67859e-005
-8.660339e-007 7.50359e-005
-8.658339e-007 7.45359e-005
-8.656339e-007 7.47859e-005
-8.654339e-007 7.62859e-005
-8.652339e-007 7.82858e-005
-8.650339e-007 8.05357e-005
-8.648339e-007 8.25356e-005
-8.646339e-007 8.35356e-005
-8.644339e-007 8.37856e-005
-8.642339e-007 8.30356e-005
-8.640339e-007 8.12857e-005
-8.638339e-007 7.87858e-005
-8.636339e-007 7.57859e-005
-8.634339e-007 7.2536e-005
-8.632339e-007 6.95361e-005
-8.630339e-007 6.70362e-005
-8.628339e-007 6.52863e-005
-8.626339e-007 6.40363e-005
-8.624339e-007 6.35364e-005
-8.622339e-007 6.40363e-005
-8.620339e-007 6.52863e-005
-8.618339e-007 6.70362e-005
-8.616339e-007 6.95361e-005
-8.614339e-007 7.2536e-005
-8.612339e-007 7.62859e-005
-8.610339e-007 8.07857e-005
-8.608339e-007 8.62855e-005
-8.606339e-007 9.22853e-005
-8.604339e-007 9.9285e-005
-8.602339e-007 0.000107035
-8.600339e-007 0.000114784
-8.598339e-007 0.000122284
-8.596339e-007 0.000128784
-8.594339e-007 0.000133784
-8.592339e-007 0.000137284
-8.590339e-007 0.000138283
-8.588339e-007 0.000136784
-8.586339e-007 0.000132534
-8.584339e-007 0.000126284
-8.582339e-007 0.000117784
-8.580339e-007 0.000107785
-8.578339e-007 9.67851e-005
-8.576339e-007 8.60355e-005
-8.574339e-007 7.52859e-005
-8.572339e-007 6.57863e-005
-8.570339e-007 5.75366e-005
-8.568339e-007 5.07868e-005
-8.566339e-007 4.5787e-005
-8.564339e-007 4.22872e-005
-8.562339e-007 4.05372e-005
-8.560339e-007 4.05372e-005
-8.558339e-007 4.17872e-005
-8.556339e-007 4.45371e-005
-8.554339e-007 4.82869e-005
-8.552339e-007 5.35367e-005
-8.550339e-007 6.00365e-005
-8.548339e-007 6.75362e-005
-8.546339e-007 7.60359e-005
-8.544339e-007 8.52855e-005
-8.542339e-007 9.50352e-005
-8.540339e-007 0.000104785
-8.538339e-007 0.000114284
-8.536339e-007 0.000123284
-8.534339e-007 0.000131784
-8.532339e-007 0.000139033
-8.530339e-007 0.000145283
-8.528339e-007 0.000150533
-8.526339e-007 0.000154533
-8.524339e-007 0.000157783
-8.522339e-007 0.000160033
-8.520339e-007 0.000161783
-8.518339e-007 0.000163283
-8.516339e-007 0.000164532
-8.514339e-007 0.000166032
-8.512339e-007 0.000167282
-8.510339e-007 0.000168782
-8.508339e-007 0.000170782
-8.506339e-007 0.000172782
-8.504339e-007 0.000175032
-8.502339e-007 0.000177782
-8.500339e-007 0.000180782
-8.498339e-007 0.000184032
-8.496339e-007 0.000187782
-8.494339e-007 0.000191781
-8.492339e-007 0.000195781
-8.490339e-007 0.000199281
-8.488339e-007 0.000202281
-8.486339e-007 0.000204281
-8.484339e-007 0.000205281
-8.482339e-007 0.000204531
-8.480339e-007 0.000201781
-8.478339e-007 0.000197531
-8.476339e-007 0.000191531
-8.474339e-007 0.000184532
-8.472339e-007 0.000176032
-8.470339e-007 0.000167032
-8.468339e-007 0.000157283
-8.466339e-007 0.000147033
-8.464339e-007 0.000136534
-8.462339e-007 0.000125784
-8.460339e-007 0.000114534
-8.458339e-007 0.000102535
-8.456339e-007 8.97854e-005
-8.454339e-007 7.62859e-005
-8.452339e-007 6.20364e-005
-8.450339e-007 4.7537e-005
-8.448339e-007 3.27875e-005
-8.446339e-007 1.90381e-005
-8.444339e-007 7.03853e-006
-8.442339e-007 -2.21112e-006
-8.440339e-007 -8.21088e-006
-8.438339e-007 -1.02108e-005
-8.436339e-007 -8.21088e-006
-8.434339e-007 -1.96112e-006
-8.432339e-007 7.7885e-006
-8.430339e-007 2.0288e-005
-8.428339e-007 3.40375e-005
-8.426339e-007 4.82869e-005
-8.424339e-007 6.15364e-005
-8.422339e-007 7.3286e-005
-8.420339e-007 8.20356e-005
-8.418339e-007 8.80354e-005
-8.416339e-007 9.10353e-005
-8.414339e-007 9.12853e-005
-8.412339e-007 8.97854e-005
-8.410339e-007 8.67855e-005
-8.408339e-007 8.37856e-005
-8.406339e-007 8.12857e-005
-8.404339e-007 8.02857e-005
-8.402339e-007 8.07857e-005
-8.400339e-007 8.35356e-005
-8.398339e-007 8.80354e-005
-8.396339e-007 9.45352e-005
-8.394339e-007 0.000102285
-8.392339e-007 0.000111035
-8.390339e-007 0.000120034
-8.388339e-007 0.000129034
-8.386339e-007 0.000137284
-8.384339e-007 0.000144783
-8.382339e-007 0.000151283
-8.380339e-007 0.000156533
-8.378339e-007 0.000161033
-8.376339e-007 0.000164782
-8.374339e-007 0.000167532
-8.372339e-007 0.000169782
-8.370339e-007 0.000171782
-8.368339e-007 0.000173282
-8.366339e-007 0.000174532
-8.364339e-007 0.000175782
-8.362339e-007 0.000176782
-8.360339e-007 0.000178032
-8.358339e-007 0.000179532
-8.356339e-007 0.000182032
-8.354339e-007 0.000185032
-8.352339e-007 0.000189032
-8.350339e-007 0.000194031
-8.348339e-007 0.000199781
-8.346339e-007 0.000206281
-8.344339e-007 0.000213531
-8.342339e-007 0.00022078
-8.340339e-007 0.00022853
-8.338339e-007 0.00023603
-8.336339e-007 0.000243029
-8.334339e-007 0.000249279
-8.332339e-007 0.000254279
-8.330339e-007 0.000258529
-8.328339e-007 0.000261279
-8.326339e-007 0.000263279
-8.324339e-007 0.000264279
-8.322339e-007 0.000264279
-8.320339e-007 0.000263529
-8.318339e-007 0.000262279
-8.316339e-007 0.000260279
-8.314339e-007 0.000258029
-8.312339e-007 0.000255529
-8.310339e-007 0.000252779
-8.308339e-007 0.000249279
-8.306339e-007 0.000245029
-8.304339e-007 0.00024003
-8.302339e-007 0.00023403
-8.300339e-007 0.00022728
-8.298339e-007 0.00021978
-8.296339e-007 0.000211531
-8.294339e-007 0.000203281
-8.292339e-007 0.000195781
-8.290339e-007 0.000189282
-8.288339e-007 0.000184282
-8.286339e-007 0.000181282
-8.284339e-007 0.000180782
-8.282339e-007 0.000183032
-8.280339e-007 0.000187782
-8.278339e-007 0.000194531
-8.276339e-007 0.000203031
-8.274339e-007 0.000212281
-8.272339e-007 0.00022178
-8.270339e-007 0.00022978
-8.268339e-007 0.00023628
-8.266339e-007 0.00024053
-8.264339e-007 0.00024203
-8.262339e-007 0.00024103
-8.260339e-007 0.00023778
-8.258339e-007 0.00023253
-8.256339e-007 0.00022628
-8.254339e-007 0.00021953
-8.252339e-007 0.000213281
-8.250339e-007 0.000207781
-8.248339e-007 0.000203781
-8.246339e-007 0.000201281
-8.244339e-007 0.000200031
-8.242339e-007 0.000200031
-8.240339e-007 0.000201031
-8.238339e-007 0.000202281
-8.236339e-007 0.000203281
-8.234339e-007 0.000204281
-8.232339e-007 0.000204281
-8.230339e-007 0.000204031
-8.228339e-007 0.000203031
-8.226339e-007 0.000201781
-8.224339e-007 0.000201031
-8.222339e-007 0.000200781
-8.220339e-007 0.000201781
-8.218339e-007 0.000204781
-8.216339e-007 0.000209531
-8.214339e-007 0.000216031
-8.212339e-007 0.00022378
-8.210339e-007 0.00023253
-8.208339e-007 0.00024178
-8.206339e-007 0.000250279
-8.204339e-007 0.000258029
-8.202339e-007 0.000263779
-8.200339e-007 0.000268029
-8.198339e-007 0.000270278
-8.196339e-007 0.000270778
-8.194339e-007 0.000270028
-8.192339e-007 0.000268528
-8.190339e-007 0.000267279
-8.188339e-007 0.000266529
-8.186339e-007 0.000266779
-8.184339e-007 0.000267779
-8.182339e-007 0.000270028
-8.180339e-007 0.000272778
-8.178339e-007 0.000276278
-8.176339e-007 0.000279528
-8.174339e-007 0.000282278
-8.172339e-007 0.000284278
-8.170339e-007 0.000285278
-8.168339e-007 0.000285278
-8.166339e-007 0.000284028
-8.164339e-007 0.000282028
-8.162339e-007 0.000278778
-8.160339e-007 0.000275028
-8.158339e-007 0.000270528
-8.156339e-007 0.000265279
-8.154339e-007 0.000259529
-8.152339e-007 0.000253279
-8.150339e-007 0.000246029
-8.148339e-007 0.00023828
-8.146339e-007 0.00022978
-8.144339e-007 0.00022103
-8.142339e-007 0.000212031
-8.140339e-007 0.000203531
-8.138339e-007 0.000195531
-8.136339e-007 0.000188282
-8.134339e-007 0.000182032
-8.132339e-007 0.000176782
-8.130339e-007 0.000173282
-8.128339e-007 0.000171282
-8.126339e-007 0.000171032
-8.124339e-007 0.000171782
-8.122339e-007 0.000173782
-8.120339e-007 0.000177032
-8.118339e-007 0.000180782
-8.116339e-007 0.000184782
-8.114339e-007 0.000189032
-8.112339e-007 0.000192281
-8.110339e-007 0.000194531
-8.108339e-007 0.000195281
-8.106339e-007 0.000194281
-8.104339e-007 0.000191281
-8.102339e-007 0.000186782
-8.100339e-007 0.000180782
-8.098339e-007 0.000173532
-8.096339e-007 0.000165282
-8.094339e-007 0.000157033
-8.092339e-007 0.000149283
-8.090339e-007 0.000143033
-8.088339e-007 0.000138033
-8.086339e-007 0.000135034
-8.084339e-007 0.000133534
-8.082339e-007 0.000133534
-8.080339e-007 0.000134284
-8.078339e-007 0.000135784
-8.076339e-007 0.000137034
-8.074339e-007 0.000137784
-8.072339e-007 0.000137784
-8.070339e-007 0.000137284
-8.068339e-007 0.000136284
-8.066339e-007 0.000135284
-8.064339e-007 0.000134534
-8.062339e-007 0.000134784
-8.060339e-007 0.000136784
-8.058339e-007 0.000140783
-8.056339e-007 0.000146783
-8.054339e-007 0.000155283
-8.052339e-007 0.000165532
-8.050339e-007 0.000177282
-8.048339e-007 0.000189532
-8.046339e-007 0.000201781
-8.044339e-007 0.000213281
-8.042339e-007 0.00022378
-8.040339e-007 0.00023228
-8.038339e-007 0.00023878
-8.036339e-007 0.000242279
-8.034339e-007 0.000243029
-8.032339e-007 0.00024078
-8.030339e-007 0.00023603
-8.028339e-007 0.00022853
-8.026339e-007 0.00021878
-8.024339e-007 0.000207281
-8.022339e-007 0.000194781
-8.020339e-007 0.000181532
-8.018339e-007 0.000168782
-8.016339e-007 0.000156033
-8.014339e-007 0.000144783
-8.012339e-007 0.000134784
-8.010339e-007 0.000127284
-8.008339e-007 0.000122034
-8.006339e-007 0.000119034
-8.004339e-007 0.000118534
-8.002339e-007 0.000120284
-8.000339e-007 0.000123784
-7.998339e-007 0.000128534
-7.996339e-007 0.000134034
-7.994339e-007 0.000139533
-7.992339e-007 0.000145033
-7.990339e-007 0.000149533
-7.988339e-007 0.000152783
-7.986339e-007 0.000154533
-7.984339e-007 0.000154533
-7.982339e-007 0.000152783
-7.980339e-007 0.000149533
-7.978339e-007 0.000145033
-7.976339e-007 0.000139533
-7.974339e-007 0.000133784
-7.972339e-007 0.000127784
-7.970339e-007 0.000122534
-7.968339e-007 0.000118034
-7.966339e-007 0.000114534
-7.964339e-007 0.000112284
-7.962339e-007 0.000110785
-7.960339e-007 0.000110785
-7.958339e-007 0.000111535
-7.956339e-007 0.000112784
-7.954339e-007 0.000114284
-7.952339e-007 0.000116034
-7.950339e-007 0.000117534
-7.948339e-007 0.000119034
-7.946339e-007 0.000120034
-7.944339e-007 0.000121034
-7.942339e-007 0.000122284
-7.940339e-007 0.000123284
