LECROYWR104MXi-Al‘ 54380 Waveform
Segments 1 SegmentSize 5002
Segment TrigTime TimeSinceSegment1
#1 20-Jul-2017 10:07:17 0                 
Time Ampl
-4.381558e-007 -0.000545945
-4.379558e-007 0.00227895
-4.377558e-007 0.00540383
-4.375558e-007 0.0087037
-4.373558e-007 0.0120036
-4.371558e-007 0.0151785
-4.369558e-007 0.0180033
-4.367558e-007 0.0203283
-4.365558e-007 0.0221032
-4.363558e-007 0.0232281
-4.361558e-007 0.0236781
-4.359558e-007 0.0233781
-4.357558e-007 0.0224032
-4.355558e-007 0.0208032
-4.353558e-007 0.0186533
-4.351558e-007 0.0160784
-4.349558e-007 0.0131785
-4.347558e-007 0.0101036
-4.345558e-007 0.00690377
-4.343558e-007 0.00375389
-4.341558e-007 0.000754005
-4.339558e-007 -0.00197089
-4.337558e-007 -0.0043458
-4.335558e-007 -0.00627073
-4.333558e-007 -0.00769567
-4.331558e-007 -0.00859564
-4.329558e-007 -0.00892062
-4.327558e-007 -0.00867063
-4.325558e-007 -0.00784567
-4.323558e-007 -0.00647072
-4.321558e-007 -0.00472079
-4.319558e-007 -0.00267086
-4.317558e-007 -0.000445949
-4.315558e-007 0.00190396
-4.313558e-007 0.00420387
-4.311558e-007 0.00632879
-4.309558e-007 0.00817872
-4.307558e-007 0.00965366
-4.305558e-007 0.0106786
-4.303558e-007 0.0112286
-4.301558e-007 0.0113286
-4.299558e-007 0.0109786
-4.297558e-007 0.0102286
-4.295558e-007 0.00912868
-4.293558e-007 0.00777873
-4.291558e-007 0.00622879
-4.289558e-007 0.00457886
-4.287558e-007 0.00295392
-4.285558e-007 0.00140398
-4.283558e-007 4.03345e-006
-4.281558e-007 -0.00127092
-4.279558e-007 -0.00232088
-4.277558e-007 -0.00312085
-4.275558e-007 -0.00364583
-4.273558e-007 -0.00389582
-4.271558e-007 -0.00389582
-4.269558e-007 -0.00364583
-4.267558e-007 -0.00317084
-4.265558e-007 -0.00252087
-4.263558e-007 -0.0017209
-4.261558e-007 -0.000820935
-4.259558e-007 0.00010403
-4.257558e-007 0.001004
-4.255558e-007 0.00182896
-4.253558e-007 0.00255394
-4.251558e-007 0.00310391
-4.249558e-007 0.0035039
-4.247558e-007 0.00367889
-4.245558e-007 0.00367889
-4.243558e-007 0.0034789
-4.241558e-007 0.00310391
-4.239558e-007 0.00252894
-4.237558e-007 0.00185396
-4.235558e-007 0.00110399
-4.233558e-007 0.000279023
-4.231558e-007 -0.000595944
-4.229558e-007 -0.00139591
-4.227558e-007 -0.00214588
-4.225558e-007 -0.00279586
-4.223558e-007 -0.00332084
-4.221558e-007 -0.00377082
-4.219558e-007 -0.00414581
-4.217558e-007 -0.00452079
-4.215558e-007 -0.00492078
-4.213558e-007 -0.00537076
-4.211558e-007 -0.00594574
-4.209558e-007 -0.00667071
-4.207558e-007 -0.00759567
-4.205558e-007 -0.00867063
-4.203558e-007 -0.00994558
-4.201558e-007 -0.0113705
-4.199558e-007 -0.0128955
-4.197558e-007 -0.0143954
-4.195558e-007 -0.0158454
-4.193558e-007 -0.0171703
-4.191558e-007 -0.0182703
-4.189558e-007 -0.0191202
-4.187558e-007 -0.0196702
-4.185558e-007 -0.0199202
-4.183558e-007 -0.0198952
-4.181558e-007 -0.0195952
-4.179558e-007 -0.0190702
-4.177558e-007 -0.0183953
-4.175558e-007 -0.0176203
-4.173558e-007 -0.0167703
-4.171558e-007 -0.0159454
-4.169558e-007 -0.0151704
-4.167558e-007 -0.0144454
-4.165558e-007 -0.0137954
-4.163558e-007 -0.0132205
-4.161558e-007 -0.0126955
-4.159558e-007 -0.0122205
-4.157558e-007 -0.0117205
-4.155558e-007 -0.0112455
-4.153558e-007 -0.0107706
-4.151558e-007 -0.0102706
-4.149558e-007 -0.00974559
-4.147558e-007 -0.00919561
-4.145558e-007 -0.00864563
-4.143558e-007 -0.00812065
-4.141558e-007 -0.00762067
-4.139558e-007 -0.00717069
-4.137558e-007 -0.00677071
-4.135558e-007 -0.00639572
-4.133558e-007 -0.00604573
-4.131558e-007 -0.00569575
-4.129558e-007 -0.00537076
-4.127558e-007 -0.00502077
-4.125558e-007 -0.00467079
-4.123558e-007 -0.0042708
-4.121558e-007 -0.00392082
-4.119558e-007 -0.00359583
-4.117558e-007 -0.00337084
-4.115558e-007 -0.00327084
-4.113558e-007 -0.00337084
-4.111558e-007 -0.00367083
-4.109558e-007 -0.0042708
-4.107558e-007 -0.00512077
-4.105558e-007 -0.00629572
-4.103558e-007 -0.00769567
-4.101558e-007 -0.00934561
-4.099558e-007 -0.0111455
-4.097558e-007 -0.0130205
-4.095558e-007 -0.0148704
-4.093558e-007 -0.0166453
-4.091558e-007 -0.0182703
-4.089558e-007 -0.0196702
-4.087558e-007 -0.0207452
-4.085558e-007 -0.0215201
-4.083558e-007 -0.0219201
-4.081558e-007 -0.0219451
-4.079558e-007 -0.0216201
-4.077558e-007 -0.0209452
-4.075558e-007 -0.0199702
-4.073558e-007 -0.0187202
-4.071558e-007 -0.0173203
-4.069558e-007 -0.0157954
-4.067558e-007 -0.0142704
-4.065558e-007 -0.0127705
-4.063558e-007 -0.0114205
-4.061558e-007 -0.0102956
-4.059558e-007 -0.0094206
-4.057558e-007 -0.00882063
-4.055558e-007 -0.00852064
-4.053558e-007 -0.00854564
-4.051558e-007 -0.00887063
-4.049558e-007 -0.0094956
-4.047558e-007 -0.0103206
-4.045558e-007 -0.0112955
-4.043558e-007 -0.0123955
-4.041558e-007 -0.0135954
-4.039558e-007 -0.0147704
-4.037558e-007 -0.0158954
-4.035558e-007 -0.0168953
-4.033558e-007 -0.0177453
-4.031558e-007 -0.0183203
-4.029558e-007 -0.0186203
-4.027558e-007 -0.0186203
-4.025558e-007 -0.0183203
-4.023558e-007 -0.0176703
-4.021558e-007 -0.0166953
-4.019558e-007 -0.0154204
-4.017558e-007 -0.0138954
-4.015558e-007 -0.0121705
-4.013558e-007 -0.0103456
-4.011558e-007 -0.00849564
-4.009558e-007 -0.00664571
-4.007558e-007 -0.00489578
-4.005558e-007 -0.00329584
-4.003558e-007 -0.0018459
-4.001558e-007 -0.000595944
-3.999558e-007 0.000404018
-3.997558e-007 0.00117899
-3.995558e-007 0.00175397
-3.993558e-007 0.00210395
-3.991558e-007 0.00222895
-3.989558e-007 0.00215395
-3.987558e-007 0.00185396
-3.985558e-007 0.00137898
-3.983558e-007 0.000779004
-3.981558e-007 7.90306e-005
-3.979558e-007 -0.000645942
-3.977558e-007 -0.00144591
-3.975558e-007 -0.00219588
-3.973558e-007 -0.00287086
-3.971558e-007 -0.00342084
-3.969558e-007 -0.00384582
-3.967558e-007 -0.00417081
-3.965558e-007 -0.0043458
-3.963558e-007 -0.00447079
-3.961558e-007 -0.00459579
-3.959558e-007 -0.00474578
-3.957558e-007 -0.00497078
-3.955558e-007 -0.00532076
-3.953558e-007 -0.00579574
-3.951558e-007 -0.00644572
-3.949558e-007 -0.00727069
-3.947558e-007 -0.00827065
-3.945558e-007 -0.00934561
-3.943558e-007 -0.0104456
-3.941558e-007 -0.0115705
-3.939558e-007 -0.0126705
-3.937558e-007 -0.0137454
-3.935558e-007 -0.0147704
-3.933558e-007 -0.0157204
-3.931558e-007 -0.0166203
-3.929558e-007 -0.0174703
-3.927558e-007 -0.0182703
-3.925558e-007 -0.0189952
-3.923558e-007 -0.0196452
-3.921558e-007 -0.0201702
-3.919558e-007 -0.0205702
-3.917558e-007 -0.0207952
-3.915558e-007 -0.0208202
-3.913558e-007 -0.0206702
-3.911558e-007 -0.0203702
-3.909558e-007 -0.0199202
-3.907558e-007 -0.0193952
-3.905558e-007 -0.0188202
-3.903558e-007 -0.0183203
-3.901558e-007 -0.0179203
-3.899558e-007 -0.0176453
-3.897558e-007 -0.0175453
-3.895558e-007 -0.0175703
-3.893558e-007 -0.0177453
-3.891558e-007 -0.0180203
-3.889558e-007 -0.0183203
-3.887558e-007 -0.0185953
-3.885558e-007 -0.0188452
-3.883558e-007 -0.0189452
-3.881558e-007 -0.0188952
-3.879558e-007 -0.0186702
-3.877558e-007 -0.0182703
-3.875558e-007 -0.0176953
-3.873558e-007 -0.0169453
-3.871558e-007 -0.0160454
-3.869558e-007 -0.0150454
-3.867558e-007 -0.0140204
-3.865558e-007 -0.0129955
-3.863558e-007 -0.0119705
-3.861558e-007 -0.0110455
-3.859558e-007 -0.0102206
-3.857558e-007 -0.0094956
-3.855558e-007 -0.00894562
-3.853558e-007 -0.00849564
-3.851558e-007 -0.00824565
-3.849558e-007 -0.00809566
-3.847558e-007 -0.00804566
-3.845558e-007 -0.00802066
-3.843558e-007 -0.00802066
-3.841558e-007 -0.00802066
-3.839558e-007 -0.00797066
-3.837558e-007 -0.00782067
-3.835558e-007 -0.00767067
-3.833558e-007 -0.00742068
-3.831558e-007 -0.00714569
-3.829558e-007 -0.0068207
-3.827558e-007 -0.00647072
-3.825558e-007 -0.00619573
-3.823558e-007 -0.00594574
-3.821558e-007 -0.00579574
-3.819558e-007 -0.00574575
-3.817558e-007 -0.00577074
-3.815558e-007 -0.00592074
-3.813558e-007 -0.00617073
-3.811558e-007 -0.00652072
-3.809558e-007 -0.0069457
-3.807558e-007 -0.00747068
-3.805558e-007 -0.00804566
-3.803558e-007 -0.00874563
-3.801558e-007 -0.0095206
-3.799558e-007 -0.0103956
-3.797558e-007 -0.0113455
-3.795558e-007 -0.0123705
-3.793558e-007 -0.0134455
-3.791558e-007 -0.0145454
-3.789558e-007 -0.0156454
-3.787558e-007 -0.0167203
-3.785558e-007 -0.0176953
-3.783558e-007 -0.0185203
-3.781558e-007 -0.0190952
-3.779558e-007 -0.0193952
-3.777558e-007 -0.0193952
-3.775558e-007 -0.0190952
-3.773558e-007 -0.0184953
-3.771558e-007 -0.0176453
-3.769558e-007 -0.0165453
-3.767558e-007 -0.0153204
-3.765558e-007 -0.0140704
-3.763558e-007 -0.0128705
-3.761558e-007 -0.0117455
-3.759558e-007 -0.0108455
-3.757558e-007 -0.0101456
-3.755558e-007 -0.00969559
-3.753558e-007 -0.0094956
-3.751558e-007 -0.0095206
-3.749558e-007 -0.00979559
-3.747558e-007 -0.0102206
-3.745558e-007 -0.0107206
-3.743558e-007 -0.0112955
-3.741558e-007 -0.0118705
-3.739558e-007 -0.0124455
-3.737558e-007 -0.0129455
-3.735558e-007 -0.0133205
-3.733558e-007 -0.0135954
-3.731558e-007 -0.0137204
-3.729558e-007 -0.0137204
-3.727558e-007 -0.0135454
-3.725558e-007 -0.0131955
-3.723558e-007 -0.0127455
-3.721558e-007 -0.0121455
-3.719558e-007 -0.0113705
-3.717558e-007 -0.0105206
-3.715558e-007 -0.0095706
-3.713558e-007 -0.00852064
-3.711558e-007 -0.00739568
-3.709558e-007 -0.00622073
-3.707558e-007 -0.00502077
-3.705558e-007 -0.00379582
-3.703558e-007 -0.00262087
-3.701558e-007 -0.00154591
-3.699558e-007 -0.000645942
-3.697558e-007 5.40315e-005
-3.695558e-007 0.000529013
-3.693558e-007 0.000704007
-3.691558e-007 0.000554012
-3.689558e-007 0.00010403
-3.687558e-007 -0.000620943
-3.685558e-007 -0.00152091
-3.683558e-007 -0.00259587
-3.681558e-007 -0.00369582
-3.679558e-007 -0.00472079
-3.677558e-007 -0.00557075
-3.675558e-007 -0.00619573
-3.673558e-007 -0.00654572
-3.671558e-007 -0.00662071
-3.669558e-007 -0.00642072
-3.667558e-007 -0.00594574
-3.665558e-007 -0.00529576
-3.663558e-007 -0.00452079
-3.661558e-007 -0.00362083
-3.659558e-007 -0.00267086
-3.657558e-007 -0.0017459
-3.655558e-007 -0.000795936
-3.653558e-007 0.000129029
-3.651558e-007 0.00105399
-3.649558e-007 0.00200396
-3.647558e-007 0.00292892
-3.645558e-007 0.00390388
-3.643558e-007 0.00482885
-3.641558e-007 0.00565382
-3.639558e-007 0.00637879
-3.637558e-007 0.00687877
-3.635558e-007 0.00715376
-3.633558e-007 0.00710376
-3.631558e-007 0.00672878
-3.629558e-007 0.0060288
-3.627558e-007 0.00505384
-3.625558e-007 0.00382889
-3.623558e-007 0.00242894
-3.621558e-007 0.000978996
-3.619558e-007 -0.000445949
-3.617558e-007 -0.0018459
-3.615558e-007 -0.00307085
-3.613558e-007 -0.00409581
-3.611558e-007 -0.00489578
-3.609558e-007 -0.00544576
-3.607558e-007 -0.00579574
-3.605558e-007 -0.00592074
-3.603558e-007 -0.00582074
-3.601558e-007 -0.00557075
-3.599558e-007 -0.00509577
-3.597558e-007 -0.00447079
-3.595558e-007 -0.00369582
-3.593558e-007 -0.00282086
-3.591558e-007 -0.0018209
-3.589558e-007 -0.000770937
-3.587558e-007 0.000304022
-3.585558e-007 0.00132898
-3.583558e-007 0.00230395
-3.581558e-007 0.00317891
-3.579558e-007 0.00390388
-3.577558e-007 0.00445386
-3.575558e-007 0.00485385
-3.573558e-007 0.00507884
-3.571558e-007 0.00515384
-3.569558e-007 0.00505384
-3.567558e-007 0.00482885
-3.565558e-007 0.00455386
-3.563558e-007 0.00420387
-3.561558e-007 0.00382889
-3.559558e-007 0.0034539
-3.557558e-007 0.00310391
-3.555558e-007 0.00277893
-3.553558e-007 0.00252894
-3.551558e-007 0.00232894
-3.549558e-007 0.00220395
-3.547558e-007 0.00217895
-3.545558e-007 0.00217895
-3.543558e-007 0.00225395
-3.541558e-007 0.00235394
-3.539558e-007 0.00245394
-3.537558e-007 0.00250394
-3.535558e-007 0.00252894
-3.533558e-007 0.00250394
-3.531558e-007 0.00240394
-3.529558e-007 0.00220395
-3.527558e-007 0.00190396
-3.525558e-007 0.00150398
-3.523558e-007 0.00105399
-3.521558e-007 0.000504014
-3.519558e-007 -9.59627e-005
-3.517558e-007 -0.000720939
-3.515558e-007 -0.00137091
-3.513558e-007 -0.00207089
-3.511558e-007 -0.00282086
-3.509558e-007 -0.00364583
-3.507558e-007 -0.00454579
-3.505558e-007 -0.00552075
-3.503558e-007 -0.00654572
-3.501558e-007 -0.00764567
-3.499558e-007 -0.00877063
-3.497558e-007 -0.00989559
-3.495558e-007 -0.0109455
-3.493558e-007 -0.0118705
-3.491558e-007 -0.0126705
-3.489558e-007 -0.0132955
-3.487558e-007 -0.0137204
-3.485558e-007 -0.0138454
-3.483558e-007 -0.0137204
-3.481558e-007 -0.0133705
-3.479558e-007 -0.0128455
-3.477558e-007 -0.0121455
-3.475558e-007 -0.0113205
-3.473558e-007 -0.0104206
-3.471558e-007 -0.0095206
-3.469558e-007 -0.00862064
-3.467558e-007 -0.00777067
-3.465558e-007 -0.0070207
-3.463558e-007 -0.00634572
-3.461558e-007 -0.00572075
-3.459558e-007 -0.00519577
-3.457558e-007 -0.00469579
-3.455558e-007 -0.0042208
-3.453558e-007 -0.00377082
-3.451558e-007 -0.00334584
-3.449558e-007 -0.00294585
-3.447558e-007 -0.00262087
-3.445558e-007 -0.00234588
-3.443558e-007 -0.00217088
-3.441558e-007 -0.00207089
-3.439558e-007 -0.00212088
-3.437558e-007 -0.00227088
-3.435558e-007 -0.00254587
-3.433558e-007 -0.00292085
-3.431558e-007 -0.00339584
-3.429558e-007 -0.00389582
-3.427558e-007 -0.0044208
-3.425558e-007 -0.00487078
-3.423558e-007 -0.00527076
-3.421558e-007 -0.00554575
-3.419558e-007 -0.00567075
