#X;Y;N;mu;mu_err;sigma;sigma_err;Aufloesung
-6;7;1.00E+05;3544.67;0.6;173.91;0.5;1106.258901
-6;7;1.00E+05;3544.67;0.6;173.91;0.5;1106.258901
-6;5;1.00E+05;3574.54;0.6;174.55;0.53;1110.330005
-6;5;1.00E+05;3574.54;0.6;174.55;0.53;1110.330005
-6;3;1.00E+05;3623.41;0.57;168.59;0.48;1072.417849
-6;3;1.00E+05;3623.41;0.57;168.59;0.48;1072.417849
-6;1;5.00E+04;3618.77;0.77;160.69;0.67;1022.165159
-6;0;5.10E+04;3721.62;0.76;161.23;9.64;1025.600153
-6;-1;6.00E+04;3736.8;0.68;159.83;0.58;1016.694613
-6;-3;1.00E+05;3779.78;0.52;162.94;0.45;1036.477634
-6;-3;1.00E+05;3779.78;0.52;162.94;0.45;1036.477634
-6;-5;1.00E+05;3807.39;0.54;163.7;0.48;1041.31207
-6;-5;1.00E+05;3807.39;0.54;163.7;0.48;1041.31207
-6;-7;1.00E+05;3837.47;0.53;160.77;0.47;1022.674047
-6;-7;1.00E+05;3837.47;0.53;160.77;0.47;1022.674047

-5;9;5.00E+05;3612.28;0.67;180.37;0.57;1147.351607
-5;9;5.00E+05;3612.28;0.67;180.37;0.57;1147.351607
-5;7;6.40E+04;3541.08;0.72;167.16;0.59;1063.321476
-5;7;6.40E+04;3541.08;0.72;167.16;0.59;1063.321476
-5;5;5.00E+04;3585.96;0.76;161.16;0.62;1025.154876
-5;3;1.24E+05;3640.13;0.48;160.19;0.39;1018.984609
-5;1;1.50E+05;3688.11;0.43;160.11;0.36;1018.475721
-5;0;1.80E+05;3715.67;0.4;158.52;0.33;1008.361572
-5;-1;5.00E+04;3740.63;0.74;158.1;0.62;1005.68991
-5;-3;7.50E+04;3782.91;0.59;158.18;0.5;1006.198798
-5;-5;5.50E+04;3813.97;0.68;156.34;0.58;994.494374
-5;-7;5.00E+04;3877.73;0.64;151.99;0.54;966.823589
-5;-7;5.00E+04;3877.73;0.64;151.99;0.54;966.823589
-5;-9;5.00E+04;3837.73;0.64;151.99;0.54;966.823589
-5;-9;5.00E+04;3837.73;0.64;151.99;0.54;966.823589

-3;11;1.00E+05;3552.35;0.88;201.32;0.72;1280.616652
-3;11;1.00E+05;3552.35;0.88;201.32;0.72;1280.616652
-3;9;1.00E+05;3482.06;0.57;166.55;0.46;1059.441205
-3;7;1.60E+05;3539.05;0.43;159.08;0.34;1011.923788
-3;5;1.00E+06;3592.34;0.59;159.93;0.48;1017.330723
-3;3;1.00E+06;3641.64;0.53;159.89;0.43;1017.076279
-3;1;1.00E+06;3690.82;0.52;158.92;0.43;1010.906012
-3;0;5.00E+04;3716.09;0.74;159.84;0.62;1016.758224
-3;-1;1.40E+05;3738.2;0.45;157.84;0.37;1004.036024
-3;-3;1.00E+05;3781.62;0.51;157.15;0.43;999.646865
-3;-5;1.00E+05;3825.61;0.51;154.61;0.43;983.489671
-3;-7;1.10E+05;3861.02;0.47;151.68;0.39;964.851648
-3;-9;1.00E+05;3890.3;0.5;151.17;0.42;961.607487
-3;-11;1.10E+05;3890.3;0.5;151.17;0.42;961.607487
-3;-11;1.10E+05;3890.3;0.5;151.17;0.42;961.607487

0;12;1.00E+05;3276.83;0.62;168.37;0.56;1071.018407
0;11;1.00E+05;3287.66;0.55;164.32;0.52;1045.255952
0;9;1.00E+05;3393.96;0.51;154.21;0.44;980.945231
0;7;1.00E+05;3498.6;0.52;156.33;0.42;994.430763
0;5;1.00E+05;3584.39;0.55;159.71;0.48;1015.931281
0;3;1.00E+05;3647.94;0.54;156.65;0.43;996.466315
0;1;1.00E+05;3697.25;0.53;160.1;0.44;1018.41211
0;0;1.00E+05;3719.2;0.51;158.62;0.42;1008.997682
0;-1;1.00E+05;3740.43;0.52;157.12;0.43;999.456032
0;-3;1.00E+05;3785.96;0.5;156.75;0.43;997.102425
0;-5;1.00E+05;3831.32;0.51;152.39;0.42;969.368029
0;-7;1.00E+05;3884.4;0.48;152.73;0.39;971.530803
0;-9;1.00E+05;3939.39;0.55;152.06;0.42;967.268866
0;-11;1.00E+05;3943.04;0.65;132.06;0.53;840.046866
0;-12;1.00E+05;3916.54;0.54;115.98;0.48;737.760378

3;11;1.00E+05;3545.3;0.71;199.53;0.55;1269.230283
3;11;1.00E+05;3545.3;0.71;199.53;0.55;1269.230283
3;9;1.00E+05;3469.77;0.57;166.6;0.45;1059.75926
3;7;1.00E+05;3526.63;0.56;162.69;0.46;1034.887359
3;5;1.00E+05;3593.6;0.54;159.98;0.43;1017.648778
3;3;1.00E+05;3645.13;0.54;161.33;0.44;1026.236263
3;1;1.00E+05;3696.35;0.52;156.94;0.42;998.311034
3;0;1.00E+05;3720.41;0.52;157.1;0.43;999.32881
3;-1;1.00E+05;3739.84;0.52;156.23;0.43;993.794653
3;-3;1.00E+05;3768.7;0.52;158.69;0.43;1009.442959
3;-5;1.00E+05;3803.79;0.45;157.46;0.39;1001.618806
3;-7;1.00E+05;3839.4;0.5;155.17;0.44;987.051887
3;-9;1.00E+05;3869.22;0.51;152.92;0.42;972.739412
3;-11;1.00E+05;3846.06;0.54;160.54;0.48;1021.210994
3;-11;1.00E+05;3846.06;0.54;160.54;0.48;1021.210994

5;9;1.00E+05;3610.61;0.66;186.98;0.51;1189.398478
5;9;1.00E+05;3610.61;0.66;186.98;0.51;1189.398478
5;7;1.00E+05;3545.69;0.58;171.31;0.47;1089.720041
5;7;1.00E+05;3545.69;0.58;171.31;0.47;1089.720041
5;5;1.00E+05;3578.81;0.57;167.77;0.46;1067.201747
5;3;1.00E+05;3626.02;0.56;166.39;0.45;1058.423429
5;1;1.00E+05;3674.21;0.52;164.93;0.46;1049.136223
5;0;1.00E+05;3697.75;0.55;164.35;0.46;1045.446785
5;-1;1.00E+05;3719.22;0.55;161.07;0.46;1024.582377
5;-3;1.00E+05;3760.28;0.53;161.84;0.45;1029.480424
5;-5;1.00E+05;3798.77;0.52;159.05;0.45;1011.732955
5;-7;1.00E+05;3823.21;0.51;155.01;0.43;986.034111
5;-7;1.00E+05;3823.21;0.51;155.01;0.43;986.034111
5;-9;1.00E+05;3781.96;0.52;158.5;0.46;1008.23435
5;-9;1.00E+05;3781.96;0.52;158.5;0.46;1008.23435

6;7;1.00E+05;3549.52;0.6;174.08;0.5;1107.340288
6;7;1.00E+05;3549.52;0.6;174.08;0.5;1107.340288
6;5;1.00E+05;3577.16;0.58;170.26;0.49;1083.040886
6;5;1.00E+05;3577.16;0.58;170.26;0.49;1083.040886
6;3;1.00E+05;3627.18;0.59;173.05;0.5;1100.788355
6;3;1.00E+05;3627.18;0.59;173.05;0.5;1100.788355
6;1;1.00E+05;3677.87;0.57;170.34;0.49;1083.549774
6;0;1.00E+05;3699.14;0.56;165.51;0.47;1052.825661
6;-1;1.00E+05;3722.68;0.57;169.28;0.49;1076.807008
6;-3;1.00E+05;3765.97;0.56;168.54;0.48;1072.099794
6;-3;1.00E+05;3765.97;0.56;168.54;0.48;1072.099794
6;-5;1.00E+05;3799.8;0.54;164.61;0.47;1047.100671
6;-5;1.00E+05;3799.8;0.54;164.61;0.47;1047.100671
6;-7;1.00E+05;3828.85;0.53;164;0.46;1043.2204
6;-7;1.00E+05;3828.85;0.53;164;0.46;1043.2204
